seed;val_ret_pearson_r;winner;target_coverage;validation_pf;validation_trades;test_pf;test_trades;sequential_pf;sequential_trades;sequential_win_rate;signal_export_supported
7;0.2792083223660787;B_no_path6;0.1;1.2375234086461016;48;4.304432878155644;49;2.7922047197769952;32;0.65625;True
17;0.2795976201693217;B;0.075;2.551243198321603;36;6.389259807201566;37;4.598480869765845;25;0.76;True
42;0.26814931134382886;A;0.075;2.8880904438217803;36;3.656705910568241;37;2.3418651709156997;25;0.68;True
77;0.28435303767522174;A;0.075;2.2116844919397147;36;2.0023586259089146;49;1.5171433511048498;32;0.59375;True
123;0.27670586109161377;A;0.1;1.2794847114398658;48;2.7761685581153306;49;1.86333260985839;33;0.6060606060606061;True
