signal_time;side;limit;python_fill_time;python_exit_time;first_m5_touch_time;first_m5_bar_ohlc;close_reason;pnl_r;source_m5_sha256
2022-12-05 23:00:00;SELL;1772.28;2022-12-06 03:00:00;2022-12-06 03:00:00;2022-12-06 03:10:00;"{""close"": 1772.24, ""high"": 1772.59, ""low"": 1771.07, ""open"": 1771.32, ""time"": ""2022-12-06 03:10:00""}";ML_CLOSE;-0.3085365853658486;504666ce286b27f3ae61679d5e722a629a0d8662d93a428c4f8dd5e6b2ce4f60
2022-12-14 22:00:00;BUY;1802.05;2022-12-15 03:00:00;2022-12-15 03:00:00;2022-12-15 03:15:00;"{""close"": 1802.58, ""high"": 1804.06, ""low"": 1801.36, ""open"": 1803.84, ""time"": ""2022-12-15 03:15:00""}";ML_CLOSE;-0.3793478260869556;504666ce286b27f3ae61679d5e722a629a0d8662d93a428c4f8dd5e6b2ce4f60
