source_path;source_file;source_bucket;Magic;error_message;error_code;error_class;missing_magic_column;missing_magic_column_file
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576954863;MAIL_SEND-702: function is not confirmed! ERROR-4060;4060;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576926134;MAIL_SEND-647: requested history data is in update state! ERROR-4066;4066;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576971767;MAIL_SEND-702: function is not confirmed! ERROR-4060;4060;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576971767;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576971767;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576977780;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576977780;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576977780;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576954863;MAIL_SEND-647: requested history data is in update state! ERROR-4066;4066;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576984359;MAIL_SEND-702: function is not confirmed! ERROR-4060;4060;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576991786;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576991786;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576991786;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576964198;MAIL_SEND-647: requested history data is in update state! ERROR-4066;4066;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577004992;MAIL_SEND-702: function is not confirmed! ERROR-4060;4060;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577022721;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577022721;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1576977780;MAIL_SEND-647: requested history data is in update state! ERROR-4066;4066;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577027778;MAIL_SEND-702: function is not confirmed! ERROR-4060;4060;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577027778;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577027778;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577004992;MAIL_SEND-647: requested history data is in update state! ERROR-4066;4066;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577051604;MAIL_SEND-702: function is not confirmed! ERROR-4060;4060;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577019127;MLP_Close Ticket=1577019127: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577019127;MLP_Close Ticket=1577019127: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577019127;MLP_Close Ticket=1577019127: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577019127;MAIL_SEND-647: requested history data is in update state! ERROR-4066;4066;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577074706;MAIL_SEND-702: function is not confirmed! ERROR-4060;4060;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577085191;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577045413;MLP_Close Ticket=1577045413: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577045413;MLP_Close Ticket=1577045413: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577045413;MLP_Close Ticket=1577045413: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577043409;MLP_Close Ticket=1577043409: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577043409;MLP_Close Ticket=1577043409: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577043409;MLP_Close Ticket=1577043409: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577043409;MAIL_SEND-647: requested history data is in update state! ERROR-4066;4066;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577105044;MAIL_SEND-702: function is not confirmed! ERROR-4060;4060;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577105044;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577105044;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577119984;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577074706;MAIL_SEND-647: requested history data is in update state! ERROR-4066;4066;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577127679;MAIL_SEND-702: function is not confirmed! ERROR-4060;4060;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577085191;MAIL_SEND-647: requested history data is in update state! ERROR-4066;4066;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577142413;MAIL_SEND-702: function is not confirmed! ERROR-4060;4060;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577160386;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577160386;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577160386;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577133650;MAIL_SEND-647: requested history data is in update state! ERROR-4066;4066;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577176235;MAIL_SEND-702: function is not confirmed! ERROR-4060;4060;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577192971;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577192971;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577201703;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577201703;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577201703;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577184662;MAIL_SEND-647: requested history data is in update state! ERROR-4066;4066;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577201703;MAIL_SEND-702: function is not confirmed! ERROR-4060;4060;OTHER;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577201703;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
MT/MQL4/Files/ERROR_SoSimple_517154336.csv;ERROR_SoSimple_517154336.csv;mt4_files;1577201703;MLP_OpenMarketOrder: requote! ERROR-138;138;REQUOTE;False;
