seed;split;year;trades;pf;mean_pnl_atr
7;validation;2019;8;inf;3.5013718124999995
7;validation;2020;9;1.271048707241023;0.3681823333333334
7;validation;2021;12;1.567107057612985;0.6502192216666663
7;validation;2022;7;3.3462021662000705;1.6749766857142856
7;test;2022;3;0.0;-1.8293617333333334
7;test;2023;10;3.3575876872030364;2.58829523
7;test;2024;10;7.8509703484432904;2.0592284120000004
7;test;2025;16;inf;4.201350525
7;test;2026;1;0.0;-1.1048508
17;validation;2019;8;inf;3.5013718124999995
17;validation;2020;9;1.2417011540118916;0.33607750000000003
17;validation;2021;12;1.1217374133381286;0.17783185499999998
17;validation;2022;7;3.5971909944497624;1.7247887142857141
17;test;2022;3;0.0;-2.8800284000000005
17;test;2023;8;2.9845799800421666;1.5780913625
17;test;2024;10;7.8509703484432904;2.0592284120000004
17;test;2025;17;75.6361275949367;3.901932847058823
42;validation;2019;8;inf;3.5013718124999995
42;validation;2020;10;1.1689438562407832;0.22468470729999995
42;validation;2021;11;2.0282707922079717;0.9180046636363635
42;validation;2022;7;3.5971909944497624;1.7247887142857141
42;test;2022;2;0.0;-3.4650426000000003
42;test;2023;9;1.7293814171468123;0.889729811111111
42;test;2024;10;7.8509703484432904;2.0592284120000004
42;test;2025;16;8.767382963247346;3.21954708125
77;validation;2019;8;inf;3.5013718124999995
77;validation;2020;10;1.27164722807579;0.3320958073
77;validation;2021;11;1.0203234122736369;0.03560606909090908
77;validation;2022;7;3.5971909944497624;1.7247887142857141
77;test;2022;4;0.0;-1.8890426
77;test;2023;12;0.9184271402010271;-0.1405259333333334
77;test;2024;10;7.8509703484432904;2.0592284120000004
77;test;2025;20;3.783634934412212;2.472759935
77;test;2026;3;0.7323493782448477;-0.8211155999999998
123;validation;2019;8;inf;3.5013718124999995
123;validation;2020;9;1.232636469009931;0.3258521444444445
123;validation;2021;12;1.195421581375893;0.2678724966666666
123;validation;2022;7;3.5971909944497624;1.7247887142857141
123;test;2022;5;0.0;-2.4836340800000003
123;test;2023;9;1.7293814171468123;0.889729811111111
123;test;2024;10;7.8509703484432904;2.0592284120000004
123;test;2025;16;inf;4.201350525
123;test;2026;1;0.0;-1.1048508
