entry_id;mask_id;exit_id;split;spread;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts;bs_p05;negative_years;pf_without_best_year;effective_profit_years;n_years
E0_selected_zone_edge;M0_no_mask;X0_fixed_r_0_7;val_eval;0.4;3472;1100.4000000000017;1900.0;0.579157894736843;-0.2302995391705064;-1.0;799.3999999999907;0.4527649769585253;0.0550115207373271;{'SL': 1900, 'TP': 1572};0.5469664864295962;2;0.5434210526315797;0.0;2
E0_selected_zone_edge;M0_no_mask;X1_ml_opposite_strong_p0_55;val_eval;0.4;3472;2253.7523333418544;1561.1101763233005;1.4436856331625822;0.1994937088187078;-0.3252906976744365;66.19997177991267;0.3332373271889401;0.0737327188940092;{'ML_CLOSE': 1743, 'SL': 1133, 'TIME': 596};1.3352627832391142;0;1.2702625786470678;2.0;2
E0_selected_zone_edge;M0_no_mask;X1_ml_opposite_strong_p0_65;val_eval;0.4;3472;2060.483052760292;2295.359628724116;0.8976733000682854;-0.067648783399719;-1.0;394.4432799592959;0.1964285714285714;0.108294930875576;{'SL': 1915, 'ML_CLOSE': 949, 'TIME': 608};0.8285148473042483;2;0.8067293297280297;0.0;2
E0_selected_zone_edge;M0_no_mask;X1_ml_opposite_strong_p0_75;val_eval;0.4;3472;2030.7719557405248;2818.665783932048;0.7204727737914324;-0.2269279459076967;-1.0;824.8597717891531;0.1702188940092165;0.1175115207373272;{'SL': 2763, 'TIME': 613, 'ML_CLOSE': 96};0.6603556705716218;2;0.6694894872781553;0.0;2
E0_selected_zone_edge;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.4;3472;1169.8683611830274;1361.070234937441;0.8595209351828917;-0.0550696640997735;-0.237867647058818;283.828853529503;0.3058755760368664;0.0452188940092165;{'ML_CLOSE': 2430, 'SL': 859, 'TIME': 183};0.7595574647655208;2;0.8471178180544369;0.0;2
E0_selected_zone_edge;M0_no_mask;X2_ml_opposite_any_p0_55;val_eval;0.4;3472;1468.5484353012507;1347.4249724199008;1.0898925471626215;0.0348857900003887;-0.2288675213675275;85.85311747955826;0.3338133640552995;0.045794930875576;{'ML_CLOSE': 2341, 'SL': 861, 'TIME': 270};0.9896917776379917;0;1.0838253636629045;2.0;2
E0_selected_zone_edge;M0_no_mask;X2_ml_opposite_any_p0_60;val_eval;0.4;3472;1689.2782677915288;1349.56863992223;1.2517171915678738;0.0978426347549823;-0.2272233201580982;66.55690954336725;0.3470622119815668;0.0498271889400921;{'ML_CLOSE': 2241, 'SL': 877, 'TIME': 354};1.11301094041699;0;1.239050150068854;2.0;2
E0_selected_zone_edge;M0_no_mask;X3_ml_hold_close_p0_50;val_eval;0.4;3472;2139.879106606182;2535.328763101086;0.8440243087010104;-0.1138967904651222;-1.0;526.3391853394616;0.2134216589861751;0.0982142857142857;{'SL': 2413, 'TIME': 607, 'ML_CLOSE': 452};0.7657977792464487;2;0.7643746895293779;0.0;2
E0_selected_zone_edge;M0_no_mask;X3_ml_hold_close_p0_60;val_eval;0.4;3472;2032.199455740525;2859.636494552367;0.7106495736824884;-0.2383171194734567;-1.0;854.1952722442151;0.1705069124423963;0.1172235023041474;{'SL': 2851, 'TIME': 613, 'ML_CLOSE': 8};0.6534237147212276;2;0.6624442661632715;0.0;2
E0_selected_zone_edge;M0_no_mask;X3_ml_hold_close_p0_70;val_eval;0.4;3472;2030.4769771080464;2865.4057343184486;0.7086176148771496;-0.2404748724684338;-1.0;861.6869906427754;0.1693548387096774;0.1175115207373272;{'SL': 2858, 'TIME': 613, 'ML_CLOSE': 1};0.6457441407016006;2;0.6603877137709476;0.0;2
