rule_id;rank01_time_only_linear_target_entry_ev_regression_top30;rank02_time_only_linear_target_entry_ev_regression_top40;rank03_time_only_linear_target_entry_ev_regression_top50;rank04_time_only_linear_target_entry_good_0_5r_top40;rank05_time_only_linear_target_entry_avoid_sl_top30;rank06_time_only_linear_target_entry_good_0_5r_top50;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50
rank01_time_only_linear_target_entry_ev_regression_top30;1.0;0.6728624535315985;0.5699115044247788;0.6511194029850746;0.3996383363471971;0.5609756097560976;0.45585215605749485;0.4186046511627907;0.42036124794745483;0.2515991471215352;0.5353535353535354
rank02_time_only_linear_target_entry_ev_regression_top40;0.6728624535315985;1.0;0.7973484848484849;0.7344322344322345;0.46924428822495606;0.7940074906367042;0.43308550185873607;0.35992578849721707;0.5501672240802675;0.2199248120300752;0.5110294117647058
rank03_time_only_linear_target_entry_ev_regression_top50;0.5699115044247788;0.7973484848484849;1.0;0.7425373134328358;0.5045703839122486;0.8173076923076923;0.3985239852398524;0.3358070500927644;0.5895652173913043;0.18878504672897195;0.4550359712230216
rank04_time_only_linear_target_entry_good_0_5r_top40;0.6511194029850746;0.7344322344322345;0.7425373134328358;1.0;0.4981751824817518;0.7626168224299066;0.41044776119402987;0.3370577281191806;0.52;0.19622641509433963;0.4834558823529412
rank05_time_only_linear_target_entry_avoid_sl_top30;0.3996383363471971;0.46924428822495606;0.5045703839122486;0.4981751824817518;1.0;0.5099818511796733;0.5176470588235295;0.43498817966903075;0.48608534322820035;0.2364066193853428;0.5364238410596026
rank06_time_only_linear_target_entry_good_0_5r_top50;0.5609756097560976;0.7940074906367042;0.8173076923076923;0.7626168224299066;0.5099818511796733;1.0;0.3894927536231884;0.3302919708029197;0.6278659611992945;0.17915904936014626;0.44778761061946903
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;0.45585215605749485;0.43308550185873607;0.3985239852398524;0.41044776119402987;0.5176470588235295;0.3894927536231884;1.0;0.7597402597402597;0.37570093457943926;0.47266881028938906;0.7675070028011205
rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;0.4186046511627907;0.35992578849721707;0.3358070500927644;0.3370577281191806;0.43498817966903075;0.3302919708029197;0.7597402597402597;1.0;0.3371647509578544;0.5613382899628253;0.6070460704607046
rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;0.42036124794745483;0.5501672240802675;0.5895652173913043;0.52;0.48608534322820035;0.6278659611992945;0.37570093457943926;0.3371647509578544;1.0;0.19921875;0.4309090909090909
rank10_movement_plus_time_linear_target_entry_ev_regression_top50;0.2515991471215352;0.2199248120300752;0.18878504672897195;0.19622641509433963;0.2364066193853428;0.17915904936014626;0.47266881028938906;0.5613382899628253;0.19921875;1.0;0.4022038567493113
rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;0.5353535353535354;0.5110294117647058;0.4550359712230216;0.4834558823529412;0.5364238410596026;0.44778761061946903;0.7675070028011205;0.6070460704607046;0.4309090909090909;0.4022038567493113;1.0
