split;score_col;rows;valid_rows;nan_rate;zero_rate;p10;p30;p50;p70;p90
val_eval;movement_score;4732;4732;0.0;0.0;3.8912684159682427;5.351740371938746;6.585947110700138;8.060582975891725;10.353146169814542
val_eval;stop_distance_atr;4732;4732;0.0;0.0;1.999999999999979;1.9999999999999907;2.0;2.000000000000011;2.0000000000000218
val_eval;r_value_atr;4732;4732;0.0;0.0;1.9999999999999885;2.0;2.021390986044381;2.0454545454545454;2.0555555555555807
val_eval;entry_quality_score;4732;4732;0.0;0.0;0.3495892086085988;0.3510021144954731;0.35546972881701977;0.3628493126281022;0.3644399196688441
val_eval;entry_avoid_sl_score;4732;4732;0.0;0.0;0.4091031117162367;0.41093426188743903;0.4150407486543105;0.41701570543718297;0.41887869920856313
val_select;movement_score;4731;4731;0.0;0.0;3.6799749387237375;4.474374344305864;5.408338124182226;6.532486531337606;8.172507407623032
val_select;stop_distance_atr;4731;4731;0.0;0.0;1.9999999999999811;1.9999999999999913;2.0;2.000000000000011;2.0000000000000218
val_select;r_value_atr;4731;4731;0.0;0.0;1.9999999999999867;2.0;2.0000000000000413;2.0384615384615645;2.066666666666682
val_select;entry_quality_score;4731;4731;0.0;0.0;0.3478407461231583;0.35182396757337747;0.36025020721145556;0.36336388207528914;0.36753163277225726
val_select;entry_avoid_sl_score;4731;4731;0.0;0.0;0.4060205175685541;0.41346916756905583;0.41607484775964787;0.4177059082382765;0.4274558797491838
