stop_policy_id;entry_id;mask_id;exit_id;split;spread;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts;risk_distance_atr;tp_distance_atr;bs_p05;negative_years;pf_without_best_year;effective_profit_years;n_years;filter_id;filter_family;top_fraction;score_cutoff_on_val_select;entry_filter_score_col;selected_fraction;sl_rate;profile_id;model_id;target_id;eligible_for_winner;not_eligible_for_winner;not_eligible_reason
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;620;298.55186948507213;93.69239143710391;3.1865113581340405;0.33041851298059394;0.04372258771929954;5.27508841548314;0.5564516129032258;0.0;{'ML_CLOSE': 397, 'TIME': 185, 'SL': 38};2.0;;2.7351088351628765;0;2.3793523357310353;1.740397766554073;3;top30;rich_entry_quality;0.3;0.3045143112893688;rich_entry_score;0.2702702702702703;0.06129032258064516;planned_geometry_only;linear;target_entry_good_0_5r;True;False;
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;549;260.01094110772993;77.44500732234037;3.3573622122019633;0.3325426844906914;0.028571428571429344;3.948189865689841;0.5391621129326047;0.0;{'ML_CLOSE': 375, 'TIME': 146, 'SL': 28};2.0;;2.7743452060764104;0;3.2329423865658957;1.9353035918526962;2;top30;rich_entry_quality;0.3;0.3045143112893688;rich_entry_score;0.23890339425587467;0.051001821493624776;planned_geometry_only;linear;target_entry_good_0_5r;True;False;
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;1124;541.8178535103767;160.4391866537764;3.3770917492844537;0.33930486375142377;0.027776154295732235;7.345230537598695;0.5400355871886121;0.0;{'ML_CLOSE': 757, 'TIME': 314, 'SL': 53};2.0;;2.96911792256594;0;2.5870520746108436;1.5377166641117932;3;top50;rich_entry_quality;0.5;0.42565313077009986;rich_entry_score;0.4899738448125545;0.04715302491103203;planned_geometry_only;linear;target_entry_avoid_sl;True;False;
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;653;265.6879962218188;101.3180383381305;2.6223168211679493;0.25171509629967587;-0.03285714285714546;4.402952190143139;0.4563552833078101;0.0;{'ML_CLOSE': 448, 'TIME': 173, 'SL': 32};2.000000000000005;;2.222546314393466;0;2.510844180056879;1.4723979233471507;2;top50;rich_entry_quality;0.5;0.42565313077009986;rich_entry_score;0.28416013925152306;0.04900459418070444;planned_geometry_only;linear;target_entry_avoid_sl;True;False;
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;903;426.8686544204162;123.60183034831307;3.4535787473170063;0.3358436589945771;0.024137931034473748;5.503991978756034;0.5393133997785161;0.0;{'ML_CLOSE': 619, 'TIME': 246, 'SL': 38};2.0000000000000044;;2.930752492229449;0;2.3128912594568782;1.466895874804526;3;top40;rich_entry_quality;0.4;0.4312874971202404;rich_entry_score;0.3936355710549259;0.042081949058693245;planned_geometry_only;linear;target_entry_avoid_sl;True;False;
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;379;147.57778488741644;58.181343277352596;2.5365138818453836;0.23587451612154045;-0.0359649122806887;3.970505186308735;0.45118733509234826;0.0;{'ML_CLOSE': 263, 'TIME': 99, 'SL': 17};2.0000000000000084;;2.0405023001419837;0;2.3174718066311613;1.3376152430882937;2;top40;rich_entry_quality;0.4;0.4312874971202404;rich_entry_score;0.1649260226283725;0.044854881266490766;planned_geometry_only;linear;target_entry_avoid_sl;True;False;
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;669;315.8860160204495;86.37239641780232;3.6572565903166474;0.3430696855047043;0.0333333333333363;4.216675155758622;0.5560538116591929;0.0;{'ML_CLOSE': 462, 'TIME': 184, 'SL': 23};2.0000000000000053;;2.9830480695964985;0;2.287030769724414;1.344785860963753;3;top30;rich_entry_quality;0.3;0.43702818842984403;rich_entry_score;0.2916303400174368;0.0343796711509716;planned_geometry_only;linear;target_entry_avoid_sl;True;False;
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;247;97.8094401355529;38.36379110762443;2.549524885618362;0.24067064383776712;-0.03285714285714546;3.9705051863087526;0.4493927125506073;0.0;{'ML_CLOSE': 174, 'TIME': 61, 'SL': 12};2.0000000000000124;;1.8840775982956166;0;2.543875260891631;1.5044855027365656;2;top30;rich_entry_quality;0.3;0.43702818842984403;rich_entry_score;0.10748476936466493;0.048582995951417005;planned_geometry_only;linear;target_entry_avoid_sl;True;False;
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;1150;596.4196654945574;178.57915703167833;3.3398055820632973;0.3633395725764165;0.011200716845867872;5.638340853158375;0.5165217391304348;0.0;{'ML_CLOSE': 767, 'TIME': 323, 'SL': 60};2.0;;2.882870101067624;0;3.229211082820479;2.2708437220124127;3;top50;rich_entry_quality;0.5;-0.05150922122909456;rich_entry_score;0.5013077593722755;0.05217391304347826;planned_geometry_only;hist_gradient_boosting;target_entry_ev_regression;True;False;
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;1375;578.2206268649484;235.84570043415047;2.4516903458513166;0.24899994649512577;-0.016666666666651165;7.029170443025464;0.4727272727272727;0.0;{'ML_CLOSE': 983, 'TIME': 307, 'SL': 85};2.0;;2.0797186423647185;0;2.4488751072110553;1.9883541494727226;2;top50;rich_entry_quality;0.5;-0.05150922122909456;rich_entry_score;0.5983463881636205;0.06181818181818182;planned_geometry_only;hist_gradient_boosting;target_entry_ev_regression;True;False;
