score,entry_movement_3,time,split,profile,model_key,horizon,selected_fraction,year
15.617621940206826,20.179999999999836,2025.04.08 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.607006522571675,19.08999999999969,2025.09.29 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.594686415047114,51.940000000000055,2025.04.23 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.566932195463062,31.049999999999727,2025.04.17 15:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.566815159039644,25.40000000000009,2025.10.07 12:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.539953705705997,57.55999999999949,2025.11.13 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.535844007095685,30.110000000000127,2025.04.11 13:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.521948717353524,20.09999999999991,2025.05.02 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.494654136957854,24.480000000000018,2025.11.19 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.492396595157985,36.89000000000033,2025.11.11 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.487502798396898,12.799999999999727,2025.04.29 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.486185229627658,11.239999999999782,2025.05.16 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.485125061438142,29.19000000000051,2025.12.24 13:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.47279429117395,27.480000000000018,2025.04.25 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.472451121372421,45.73999999999978,2025.11.13 13:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.471187480174988,8.920000000000073,2025.12.15 12:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.469877882038391,13.929999999999836,2025.05.14 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.469854265180446,31.00999999999931,2025.12.12 17:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.454716154726086,11.590000000000146,2025.10.03 16:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.427309005796127,51.23000000000047,2025.10.17 17:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.418534273392345,11.539999999999964,2025.10.08 13:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.414485912438474,43.57999999999993,2025.04.17 13:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.408169905178552,33.970000000000255,2025.12.15 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.40084966080565,24.550000000000182,2025.04.23 17:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.389935112421275,27.409999999999854,2025.11.11 16:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.38426035123777,32.41000000000031,2025.10.10 16:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.381716478185533,69.63000000000011,2025.10.09 17:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.378759485935902,11.83999999999969,2025.04.29 13:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.371407485010055,15.800000000000182,2025.10.16 12:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.367810823341015,18.909999999999854,2025.12.22 13:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.367194586054469,57.63000000000011,2025.12.29 16:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.366932790618753,40.57999999999993,2025.12.16 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.365018763302624,49.7800000000002,2025.10.22 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.358135248449585,15.449999999999818,2025.04.29 16:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.356886033548472,12.329999999999927,2025.10.08 12:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.354310363929718,21.61999999999989,2025.05.16 12:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.352741761674414,17.59999999999991,2025.11.21 14:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
15.352301094678594,14.099999999999909,2025.10.29 13:00,val_eval,simple_combined,extra_trees_small,3,0.05,2025
