split,year,passes_yearly_lift_gate,selected_n,skipped_n,selected_mean_movement,skipped_mean_movement,selected_p50,selected_p80,selected_p90,skipped_p50,skipped_p80,skipped_p90,movement_lift,score_cutoff,total_n
val_eval,2023,True,62,1174,10.7524193548387,5.118994889267462,9.000000000000227,14.279999999999745,18.549000000000316,3.9500000000000455,6.869999999999891,9.060999999999947,2.1004942547183107,7.896566917743876,1236
val_eval,2024,True,137,2586,15.263576642335744,8.116249033255995,13.2199999999998,20.427999999999795,26.84599999999983,6.509999999999877,11.180000000000064,14.88000000000011,1.8806195546481963,11.159427689820829,2723
val_eval,2025,True,135,2552,27.981851851851868,15.798522727272726,24.480000000000018,40.123999999999796,49.62799999999998,12.320000000000164,21.898000000000142,31.074999999999978,1.7711688829960832,15.136435666276777,2687
