original_rank;rule_id;profile_id;model_id;target_id;filter_id;cutoff;cutoff_offset;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;0.4488113055848618;0.02;97;50.36022292525439;9.055126183153574;5.561515312613318;0.4258257396092868;0.0869047619047631;2.9143643142351365;0.5773195876288659;0.0;{'ML_CLOSE': 66, 'TIME': 30, 'SL': 1}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;0.2863669071030585;0.0;1099;510.2031162587971;142.4095676321989;3.5826463400022277;0.3346620096693341;0.0224489795918396;5.734665727829565;0.5222929936305732;0.0;{'ML_CLOSE': 770, 'TIME': 292, 'SL': 37}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;0.2913669071030585;0.005;763;334.5000772462519;91.35424829170195;3.6615711201318684;0.3186708112117299;0.0282608695651915;5.165229957208027;0.5294888597640891;0.0;{'ML_CLOSE': 545, 'TIME': 199, 'SL': 19}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;0.2963669071030585;0.01;386;160.88615453519412;43.380689178266394;3.708704439296867;0.3044183040334915;0.018001119820812247;4.277204227371371;0.5181347150259067;0.0;{'ML_CLOSE': 272, 'TIME': 108, 'SL': 6}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;0.30636690710305853;0.02;113;44.06599364297725;11.352973946396176;3.88144937626368;0.2894957495272661;0.0244186046511666;2.3064517585149957;0.5575221238938053;0.0;{'ML_CLOSE': 81, 'TIME': 31, 'SL': 1}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;0.2941066606932765;0.0;979;424.9048320752118;128.2877312719365;3.312123675915076;0.30297967395635883;0.0032608695652144;5.71660053148797;0.5035750766087844;0.0;{'ML_CLOSE': 698, 'TIME': 250, 'SL': 31}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;0.2991066606932765;0.005;713;319.02627463377576;87.37877034108942;3.6510730625806858;0.3248913103684241;0.0202127659574282;5.525142724547273;0.5189340813464236;0.0;{'ML_CLOSE': 506, 'TIME': 189, 'SL': 18}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;0.3041066606932765;0.01;515;232.52585912863069;58.08546330097414;4.0031678481030735;0.33871921519933307;0.0366666666666585;3.845544501903234;0.5359223300970873;0.0;{'ML_CLOSE': 366, 'TIME': 140, 'SL': 9}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;0.31410666069327653;0.02;230;90.66544740274298;22.63755340237962;4.005090381949685;0.295773452175493;0.0363565891472665;2.122105325693454;0.5521739130434783;0.0;{'ML_CLOSE': 163, 'TIME': 65, 'SL': 2}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;0.2982796930676169;0.0;760;332.98754541898626;97.25654791816676;3.4238059292333447;0.3101723651326572;0.00456410256409835;5.557700864082179;0.5078947368421053;0.0;{'ML_CLOSE': 541, 'TIME': 197, 'SL': 22}
