profile,model_key,seed,target_family,split,year,horizon,spearman,top10_lift,top_n,rest_n
atr_only,hist_gradient_boosting,43,entry_movement,val_select,2023,6,0.1574984879569541,1.1831835682466882,145,1298
atr_only,hist_gradient_boosting,43,entry_movement,val_eval,2023,6,0.2443117859340693,1.0823186702939795,124,1112
atr_only,hist_gradient_boosting,43,entry_movement,val_eval,2024,6,0.27236253426582974,1.2491906227874152,273,2450
atr_only,hist_gradient_boosting,43,entry_movement,val_eval,2025,6,0.30111552487468635,0.8661237775077736,269,2418
atr_only,hist_gradient_boosting,44,entry_movement,val_select,2021,6,0.18818517436901822,1.2436875687950888,269,2417
atr_only,hist_gradient_boosting,44,entry_movement,val_select,2022,6,0.24549703138431758,1.6543227911281295,252,2267
atr_only,hist_gradient_boosting,44,entry_movement,val_select,2023,6,0.16021949458789914,1.1509098996674358,145,1298
atr_only,hist_gradient_boosting,44,entry_movement,val_eval,2023,6,0.25349474157031887,1.140187184404647,124,1112
atr_only,hist_gradient_boosting,44,entry_movement,val_eval,2024,6,0.2802788548497969,1.2355813539881069,273,2450
atr_only,hist_gradient_boosting,44,entry_movement,val_eval,2025,6,0.19897519906109112,0.8966479113637671,269,2418
atr_only,hist_gradient_boosting,42,entry_movement,val_select,2021,12,0.17793548768295453,1.2198040823051672,269,2417
atr_only,hist_gradient_boosting,42,entry_movement,val_select,2022,12,0.21839204259502898,1.6149004268901053,252,2267
atr_only,hist_gradient_boosting,42,entry_movement,val_select,2023,12,0.13703647607919486,1.1424565516161578,145,1298
atr_only,hist_gradient_boosting,42,entry_movement,val_eval,2023,12,0.2621169341423609,1.0483943446381705,124,1112
atr_only,hist_gradient_boosting,42,entry_movement,val_eval,2024,12,0.28954552236097525,1.1832991229027465,273,2450
atr_only,hist_gradient_boosting,42,entry_movement,val_eval,2025,12,0.31337670391810385,0.7531246392916273,269,2418
atr_only,hist_gradient_boosting,43,entry_movement,val_select,2021,12,0.175047827637316,1.2227175278956262,269,2417
atr_only,hist_gradient_boosting,43,entry_movement,val_select,2022,12,0.21756664560137517,1.5463788712564333,252,2267
atr_only,hist_gradient_boosting,43,entry_movement,val_select,2023,12,0.13191008925993147,1.0562683702495521,145,1298
atr_only,hist_gradient_boosting,43,entry_movement,val_eval,2023,12,0.2614405085393837,1.099292842862521,124,1112
atr_only,hist_gradient_boosting,43,entry_movement,val_eval,2024,12,0.2811638457399192,1.1800674033212768,273,2450
atr_only,hist_gradient_boosting,43,entry_movement,val_eval,2025,12,0.24141357604067828,0.8456234028512987,269,2418
atr_only,hist_gradient_boosting,44,entry_movement,val_select,2021,12,0.17055267204773245,1.2131776139845618,269,2417
atr_only,hist_gradient_boosting,44,entry_movement,val_select,2022,12,0.221009325416434,1.630999021298259,252,2267
atr_only,hist_gradient_boosting,44,entry_movement,val_select,2023,12,0.13055992274857123,1.1403168078872135,145,1298
