rule_id;rank01_time_only_linear_target_entry_ev_regression_top30;rank02_time_only_linear_target_entry_ev_regression_top40;rank03_time_only_linear_target_entry_ev_regression_top50;rank04_time_only_linear_target_entry_good_0_5r_top40;rank05_time_only_linear_target_entry_avoid_sl_top30;rank06_time_only_linear_target_entry_good_0_5r_top50;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50
rank01_time_only_linear_target_entry_ev_regression_top30;1.0;0.8884303171947707;0.8423123552844018;0.8901336269063663;0.5618514471588775;0.8061003729567673;0.5611009873453665;0.5191882294931693;0.49009786040100883;0.4054677170623369;0.7167841324886776
rank02_time_only_linear_target_entry_ev_regression_top40;0.8884303171947707;1.0;0.9259292988752411;0.8634313967147744;0.5742784435630128;0.9171970990691791;0.5072222735282405;0.4237783117500393;0.6589331263471229;0.3186828139917169;0.6878879970221324
rank03_time_only_linear_target_entry_ev_regression_top50;0.8423123552844018;0.9259292988752411;1.0;0.8762689928286986;0.593402124064287;0.9121502177161424;0.455543799465399;0.3713657450487978;0.7097779636217776;0.2400636137670626;0.6318662307492033
rank04_time_only_linear_target_entry_good_0_5r_top40;0.8901336269063663;0.8634313967147744;0.8762689928286986;1.0;0.6828986673280039;0.8918567246671683;0.6018653755997242;0.49783156113529065;0.5852245259616775;0.36781018707287394;0.7554417142176787
rank05_time_only_linear_target_entry_avoid_sl_top30;0.5618514471588775;0.5742784435630128;0.593402124064287;0.6828986673280039;1.0;0.704812633393416;0.6607086407116669;0.5824909241098797;0.6029167321870152;0.4429572317468079;0.7241176547111333
rank06_time_only_linear_target_entry_good_0_5r_top50;0.8061003729567673;0.9171970990691791;0.9121502177161424;0.8918567246671683;0.704812633393416;1.0;0.5159020196877453;0.4163463554691957;0.7144345762757374;0.2923886452063472;0.672086376841546
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;0.5611009873453665;0.5072222735282405;0.455543799465399;0.6018653755997242;0.6607086407116669;0.5159020196877453;1.0;0.895683386722599;0.29520363221303275;0.7137759802627748;0.837284336656075
rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;0.5191882294931693;0.4237783117500393;0.3713657450487978;0.49783156113529065;0.5824909241098797;0.4163463554691957;0.895683386722599;1.0;0.21700918801750096;0.7914078188795819;0.7452024765293077
rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;0.49009786040100883;0.6589331263471229;0.7097779636217776;0.5852245259616775;0.6029167321870152;0.7144345762757374;0.29520363221303275;0.21700918801750096;1.0;0.14185441736536566;0.531697195893674
rank10_movement_plus_time_linear_target_entry_ev_regression_top50;0.4054677170623369;0.3186828139917169;0.2400636137670626;0.36781018707287394;0.4429572317468079;0.2923886452063472;0.7137759802627748;0.7914078188795819;0.14185441736536566;1.0;0.6012355594876913
rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;0.7167841324886776;0.6878879970221324;0.6318662307492033;0.7554417142176787;0.7241176547111333;0.672086376841546;0.837284336656075;0.7452024765293077;0.531697195893674;0.6012355594876913;1.0
