repeat;null_best_bs_p05
0;1.1720216898046725
1;1.2675875090948798
2;1.238692617621253
3;1.315228713427986
4;1.1924774020621187
5;1.1829169325385276
6;1.255570219418285
7;1.466576582602247
8;1.4554336117900488
9;1.277583036450042
10;1.0913806541765716
11;1.2743356125971577
12;1.0463093394336431
13;1.0642809258281567
14;1.221952246392618
15;1.3263110097580075
16;1.2216760999789664
17;1.0915874755197894
18;1.4253422730295886
19;1.14180763120291
20;1.1090824067399312
21;1.211585468678693
22;1.1121603775729063
23;1.0867696241706153
24;1.143810868543943
25;1.1043233006197155
26;1.1995297302258818
27;1.0940067070272117
28;1.179974358664171
29;1.1798603934699852
30;1.0866323871616734
31;1.35801967760868
32;1.154695741378899
33;1.1349335944339511
34;1.080787709854443
35;1.167241408841712
36;1.3565356357570415
37;1.2370514842731888
38;1.1667687315157185
39;1.2058368224419993
40;1.1052333429685
41;1.0361886693594589
42;0.9866563397918032
43;1.1580799246791509
44;1.2974535069515984
45;1.1139821712465603
46;0.987206390861842
47;1.2142525343003994
48;1.0424480510819651
49;1.042983205116398
50;1.156514204502738
51;1.140742311248483
52;0.9604256456009048
53;1.1927320270891293
54;1.1035046401616777
55;1.040100628056608
56;1.1306197996965004
57;1.2794840496916513
58;1.0792626780715542
59;1.2456491101551928
60;1.0201765649289252
61;1.126148175232054
62;1.1092428121371811
63;1.07787194283785
64;1.060223760788425
65;1.1236065240014788
66;1.426399876143304
67;1.2434330619057714
68;1.3203147243192834
69;1.0402630120034182
70;1.1125013325943862
71;1.3336299888889172
72;1.091449382059933
73;1.1745561245388298
74;1.041273571078506
75;1.2888752673216628
76;1.0690032683554431
77;1.2423073860688774
78;1.239813742785122
79;1.0694167415285405
80;1.3116607324079914
81;1.4794689599002844
82;1.1281832210302802
83;1.0922426266484064
84;1.2552877371587832
85;1.238205473272953
86;1.033470026074479
87;1.1295411638995994
88;1.2447074400164733
89;1.2843822043790576
90;1.2473380910768277
91;1.0746135610266911
92;1.1965334599370276
93;1.161003682793906
94;1.3221810462409491
95;1.4668767539734051
96;1.1608944421914484
97;1.11797178890316
98;1.1944983239587494
99;1.104120742338099
100;1.0617739562313508
101;1.5325700575449708
102;1.152531891340575
103;1.1890763392691308
104;1.1155405973634616
105;1.1434600485932658
106;1.144670586655041
107;1.0210990070100057
108;1.3677018210277463
109;1.388899482234817
110;1.1461278877118453
111;1.6474650574640024
112;1.2531064126113431
113;1.3642913422223792
114;1.1461004847226357
115;0.9986486867720268
116;1.4382344190070595
117;1.1726705811670948
118;1.1678626061283135
119;1.3368218327241117
120;0.9721959833187852
121;1.3095531584856042
122;1.022416125794787
123;1.2382769886070917
124;1.2349204983157382
125;1.4465389771300303
126;1.0710794001068775
127;1.3674554378132011
128;1.359531656724431
129;1.3781946095224409
130;1.259688140815511
131;1.2251394403878706
132;1.2110759156169872
133;1.2491687689834028
134;1.0511295641288576
135;1.188809726089161
136;1.2237812666354435
137;1.2436757528526825
138;1.0737024754851932
139;1.0945082454875943
140;1.4690838857014343
141;1.132904570478381
142;1.3806494829503668
143;1.200846103133601
144;0.9866424742801948
145;1.2532487041883944
146;1.394183139153417
147;1.0476458994769302
148;1.1397279272319218
149;1.383384900927063
150;1.1898262632531156
151;1.217161201798859
152;1.2505448661313343
153;1.1469054729852164
154;1.1900566121380751
155;1.1557680314512724
156;1.165422533321762
157;1.0882151355659804
158;1.3233210888243851
159;1.422490738547585
160;1.2743745123732677
161;1.2183461876107444
162;1.091981252126271
163;1.5927908264283783
164;1.15518608123876
165;0.9770325390235782
166;1.144009724214461
167;1.1394709355052657
168;1.282484922919872
169;1.1077724709718342
170;1.169673248180222
171;1.0793225593113749
172;1.1634645637981895
173;1.113598080494228
174;1.1122517136509822
175;1.078192908900371
176;1.152194751039629
177;1.160048210331261
178;1.2564853787820287
179;1.1356685133238549
180;1.2562225766898536
181;1.1240317446215744
182;1.2872719309334448
183;1.3994342655635357
184;1.202542490933351
185;1.1751953268399475
186;1.5795707473773846
187;1.0506669264244772
188;1.315473076869247
189;1.3924954417247093
190;1.193561993389975
191;1.1030457726213356
192;1.1699241850324706
193;1.3254481187600895
194;1.2205524041434237
195;1.146204655343914
196;1.1786394560993767
197;1.1817546536962773
198;1.614726706543414
199;1.036755831489414
