profile,model_key,seed,horizon,target_family,split,top_frac,top_n,rest_n,top_mean,rest_mean,lift,lift_ci_p05,lift_ci_p50,lift_ci_p95
atr_only,ridge_regression,42,3,entry_movement,val_select,0.05,333.0,6315.0,9.41774774774775,6.216836104513064,1.5148779201225862,1.311536983816906,1.4973083218008774,1.7274825001604193
atr_only,ridge_regression,42,3,entry_movement,val_select,0.1,665.0,5983.0,8.670932330827071,6.1222229650676905,1.4163045645841161,1.293878087059452,1.4104812079804705,1.5490840199787332
atr_only,ridge_regression,42,3,entry_movement,val_select,0.2,1330.0,5318.0,8.007022556390977,5.969554343738247,1.3413099362752143,1.2426602344216384,1.3394988512629031,1.4198308155777126
atr_only,ridge_regression,42,3,entry_movement,val_eval,0.05,333.0,6313.0,26.00369369369369,10.326664026611754,2.5181117180419856,2.2143741216675554,2.502825025840794,2.9447774091469023
atr_only,ridge_regression,42,3,entry_movement,val_eval,0.1,665.0,5981.0,24.868586466165425,9.582653402441062,2.595167060913469,2.334048173253374,2.586278669508026,2.8906469464049622
atr_only,ridge_regression,42,3,entry_movement,val_eval,0.2,1330.0,5316.0,21.877624060150378,8.418777276147479,2.598670013772096,2.350264824014462,2.546237787093146,2.791120271881158
atr_only,ridge_regression,42,3,entry_movement,low_n_disclosure,0.05,59.0,1103.0,43.019152542372865,39.35693563009975,1.0930513733765466,0.776229718654159,1.0826446174207858,1.712996525681344
atr_only,ridge_regression,42,3,entry_movement,low_n_disclosure,0.1,117.0,1045.0,51.67769230769234,38.18424880382777,1.3533772151231092,0.9256961836093068,1.3063961078541295,1.6654365650880172
atr_only,ridge_regression,42,3,entry_movement,low_n_disclosure,0.2,233.0,929.0,52.86484978540775,36.201636167922516,1.4602889642941097,1.1428286563364576,1.4041683062886798,1.7611287126002817
atr_only,ridge_regression,42,6,entry_movement,val_select,0.05,333.0,6315.0,13.318168168168162,9.235228820269201,1.442104838695263,1.2434735266332742,1.4490240029053278,1.6955778241219455
atr_only,ridge_regression,42,6,entry_movement,val_select,0.1,665.0,5983.0,12.490270676691727,9.100683603543374,1.372454116724661,1.2477900690979464,1.369053922316243,1.5109536671685944
atr_only,ridge_regression,42,6,entry_movement,val_select,0.2,1330.0,5318.0,11.655240601503756,8.885661902971043,1.3116907585248845,1.210598902785843,1.3080761452825769,1.4024366183712758
atr_only,ridge_regression,42,6,entry_movement,val_eval,0.05,333.0,6313.0,38.549219219219225,15.194664977031524,2.5370233090029153,2.1934527810059223,2.5166899864225947,2.995277209970563
atr_only,ridge_regression,42,6,entry_movement,val_eval,0.1,665.0,5981.0,36.61729323308274,14.11307640862732,2.594564939129685,2.3147925951341466,2.5824672654563754,2.8869003716909
atr_only,ridge_regression,42,6,entry_movement,val_eval,0.2,1330.0,5316.0,32.20126315789475,12.402770880361174,2.596295897788691,2.333431962184628,2.5446995048071424,2.773118185732877
atr_only,ridge_regression,42,6,entry_movement,low_n_disclosure,0.05,59.0,1103.0,61.89406779661023,57.10650045330917,1.08383576835032,0.7182297060363825,1.0720937975106157,1.7823857074714171
atr_only,ridge_regression,42,6,entry_movement,low_n_disclosure,0.1,117.0,1045.0,75.79863247863256,55.28400000000001,1.3710772100179534,0.8708321890856496,1.3089623666195913,1.7499612827287563
atr_only,ridge_regression,42,6,entry_movement,low_n_disclosure,0.2,233.0,929.0,76.43660944206013,52.56242195909581,1.4542063815389494,1.130137177173091,1.4023926879845638,1.8266481659085647
atr_only,ridge_regression,42,12,entry_movement,val_select,0.05,333.0,6315.0,18.923393393393393,13.465931908155186,1.405279153530628,1.2153902799797298,1.4226311133570673,1.653364955871748
atr_only,ridge_regression,42,12,entry_movement,val_select,0.1,665.0,5983.0,17.962661654135342,13.269877987631622,1.3536418097346257,1.2390225342841126,1.3482186549937432,1.4871758495647203
