rule_id;rank01_time_only_linear_target_entry_ev_regression_top30;rank02_time_only_linear_target_entry_ev_regression_top40;rank03_time_only_linear_target_entry_ev_regression_top50;rank04_time_only_linear_target_entry_good_0_5r_top40;rank05_time_only_linear_target_entry_avoid_sl_top30;rank06_time_only_linear_target_entry_good_0_5r_top50;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50
rank01_time_only_linear_target_entry_ev_regression_top30;1.0;0.8753817985142976;0.8425968655415894;0.8677447320833681;0.476153358348599;0.7931343970651684;0.4230082255390107;0.4445785779817878;0.5069626329511534;0.3600756117895979;0.623487126096569
rank02_time_only_linear_target_entry_ev_regression_top40;0.8753817985142976;1.0;0.9222108565666042;0.8624992586756227;0.5114555801363451;0.9064600950589736;0.426835041713576;0.38288065053098536;0.6471774078600349;0.3069613362171995;0.6323433864742151
rank03_time_only_linear_target_entry_ev_regression_top50;0.8425968655415894;0.9222108565666042;1.0;0.879464279972765;0.5604769968523878;0.9122740746672231;0.3984713413937705;0.3637776835801364;0.6911817160736412;0.2708356782764469;0.5894519177984565
rank04_time_only_linear_target_entry_good_0_5r_top40;0.8677447320833681;0.8624992586756227;0.879464279972765;1.0;0.6630484087254069;0.906099575390894;0.5173946601232291;0.44813486548942877;0.6326146342605221;0.32219397476071715;0.6927525786590856
rank05_time_only_linear_target_entry_avoid_sl_top30;0.476153358348599;0.5114555801363451;0.5604769968523878;0.6630484087254069;1.0;0.6835910546320545;0.6223771103932259;0.5464017022607771;0.6283637902011938;0.391375710018855;0.6521672494619389
rank06_time_only_linear_target_entry_good_0_5r_top50;0.7931343970651684;0.9064600950589736;0.9122740746672231;0.906099575390894;0.6835910546320545;1.0;0.46392399825087366;0.401750008456477;0.7140009484475203;0.28603913350507804;0.6268135519287942
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;0.4230082255390107;0.426835041713576;0.3984713413937705;0.5173946601232291;0.6223771103932259;0.46392399825087366;1.0;0.8811125106185229;0.37469203803675877;0.6638873094627731;0.8138743024391512
rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;0.4445785779817878;0.38288065053098536;0.3637776835801364;0.44813486548942877;0.5464017022607771;0.401750008456477;0.8811125106185229;1.0;0.32281273860307913;0.7672528386846564;0.7234767112206674
rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;0.5069626329511534;0.6471774078600349;0.6911817160736412;0.6326146342605221;0.6283637902011938;0.7140009484475203;0.37469203803675877;0.32281273860307913;1.0;0.28096034791760716;0.561757644375734
rank10_movement_plus_time_linear_target_entry_ev_regression_top50;0.3600756117895979;0.3069613362171995;0.2708356782764469;0.32219397476071715;0.391375710018855;0.28603913350507804;0.6638873094627731;0.7672528386846564;0.28096034791760716;1.0;0.5478599925590739
rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;0.623487126096569;0.6323433864742151;0.5894519177984565;0.6927525786590856;0.6521672494619389;0.6268135519287942;0.8138743024391512;0.7234767112206674;0.561757644375734;0.5478599925590739;1.0
