split;rows;valid_rows;mean_score;p10;p50;p90;fraction_above_fixed_cutoff
val_eval;4732;4732;-0.04831752521399647;-0.0905313919454879;-0.0493346811849744;-0.0089554613175736;0.30980557903634826
val_select;4731;4731;-0.04850652598922935;-0.0905313919454879;-0.0474950606299718;-0.0102492773231216;0.3016275628831114
