rule_id;rank01_time_only_linear_target_entry_ev_regression_top30;rank02_time_only_linear_target_entry_ev_regression_top40;rank03_time_only_linear_target_entry_ev_regression_top50;rank04_time_only_linear_target_entry_good_0_5r_top40;rank05_time_only_linear_target_entry_avoid_sl_top30;rank06_time_only_linear_target_entry_good_0_5r_top50;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50
rank01_time_only_linear_target_entry_ev_regression_top30;1.0;0.8935276204208532;0.8507848919209345;0.8927065880291037;0.5647659283714704;0.8114493318561307;0.5809049193871013;0.5486603831906341;0.5047976933204429;0.4379119257578092;0.7227210133677656
rank02_time_only_linear_target_entry_ev_regression_top40;0.8935276204208532;1.0;0.9244164346052898;0.8605281999297802;0.5798381287328316;0.9158480299730318;0.552716147328279;0.4863387529646982;0.667591607892832;0.387669129750263;0.7014335157676045
rank03_time_only_linear_target_entry_ev_regression_top50;0.8507848919209345;0.9244164346052898;1.0;0.8730584609812257;0.5944092194180736;0.911219534694368;0.49712157588539624;0.4266522606290347;0.6841526605073633;0.2980300876384914;0.6435984201283466
rank04_time_only_linear_target_entry_good_0_5r_top40;0.8927065880291037;0.8605281999297802;0.8730584609812257;1.0;0.6807598913582082;0.8871449604207251;0.6210139274177547;0.5274208531505956;0.586105251276096;0.395528190299221;0.7512750686458894
rank05_time_only_linear_target_entry_avoid_sl_top30;0.5647659283714704;0.5798381287328316;0.5944092194180736;0.6807598913582082;1.0;0.7072405808500282;0.682999879998463;0.6102233535920022;0.6111841658604812;0.5027268491597338;0.708574855834171
rank06_time_only_linear_target_entry_good_0_5r_top50;0.8114493318561307;0.9158480299730318;0.911219534694368;0.8871449604207251;0.7072405808500282;1.0;0.5581573687505544;0.47221878129124767;0.718818122074441;0.35345376885200536;0.6791290650680961
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;0.5809049193871013;0.552716147328279;0.49712157588539624;0.6210139274177547;0.682999879998463;0.5581573687505544;1.0;0.8992272788297009;0.37548297647521056;0.7298224176375985;0.8584618380297211
rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;0.5486603831906341;0.4863387529646982;0.4266522606290347;0.5274208531505956;0.6102233535920022;0.47221878129124767;0.8992272788297009;1.0;0.3250039928012182;0.8115123941257244;0.7807582621846594
rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;0.5047976933204429;0.667591607892832;0.6841526605073633;0.586105251276096;0.6111841658604812;0.718818122074441;0.37548297647521056;0.3250039928012182;1.0;0.24651319471934752;0.5634423199477341
rank10_movement_plus_time_linear_target_entry_ev_regression_top50;0.4379119257578092;0.387669129750263;0.2980300876384914;0.395528190299221;0.5027268491597338;0.35345376885200536;0.7298224176375985;0.8115123941257244;0.24651319471934752;1.0;0.6364678141457342
rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;0.7227210133677656;0.7014335157676045;0.6435984201283466;0.7512750686458894;0.708574855834171;0.6791290650680961;0.8584618380297211;0.7807582621846594;0.5634423199477341;0.6364678141457342;1.0
