original_rank;rule_id;profile_id;model_id;target_id;filter_id;period;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;2021Q2;149;80.90725529410147;13.28542108050432;6.0899278091252045;0.4538378135140749;0.0869047619047631;1.5071660859467002;0.5906040268456376;0.0;{'ML_CLOSE': 101, 'TIME': 46, 'SL': 2}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;2021Q3;164;73.23405681076922;22.7849716832299;3.214138592266526;0.30761637272889814;-0.0159574468085201;5.143389031204308;0.4817073170731707;0.0;{'ML_CLOSE': 117, 'TIME': 41, 'SL': 6}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;2021Q4;166;75.38013655201674;15.831888894926003;4.761285090635994;0.35872438347645025;0.026233692569472902;1.6023074545133085;0.5542168674698795;0.0;{'ML_CLOSE': 120, 'TIME': 44, 'SL': 2}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;2022Q1;158;67.97524629473187;26.35693398849626;2.579027072132151;0.26340703991288367;-0.0424793144208047;4.3617705262217825;0.41139240506329117;0.0;{'ML_CLOSE': 118, 'TIME': 29, 'SL': 11}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;2022Q2;162;85.57809558046377;19.370288704031033;4.418008264515677;0.4086901659039057;0.02999608150469775;2.521444121915822;0.5370370370370371;0.0;{'ML_CLOSE': 112, 'TIME': 48, 'SL': 2}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;2022Q3;162;72.39667934092533;24.26054857667904;2.9841319998228792;0.2971366096558412;0.04098684210526945;3.1119005328596785;0.5617283950617284;0.0;{'ML_CLOSE': 109, 'TIME': 43, 'SL': 10}
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;2022Q4;109;32.05943633734314;16.174747443465666;1.9820671976114614;0.14573109076951812;-0.0392156862745185;6.174901822267373;0.44954128440366975;0.0;{'ML_CLOSE': 84, 'TIME': 22, 'SL': 3}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;2021Q1;26;14.421762347407983;2.2147135823296464;6.51179568431499;0.46950187557993595;0.049859055673002556;0.6942368203449387;0.5769230769230769;0.0;{'ML_CLOSE': 16, 'TIME': 10}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;2021Q2;110;59.7341558231523;8.756264035475715;6.821876953589035;0.46343537988796907;0.07752039627040866;0.8680061037639817;0.5818181818181818;0.0;{'ML_CLOSE': 77, 'TIME': 33}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;2021Q3;121;44.79460131592051;16.504166250418375;2.714139002010173;0.23380524847522427;-0.0159574468085201;4.261773771464046;0.47107438016528924;0.0;{'ML_CLOSE': 89, 'TIME': 27, 'SL': 5}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;2021Q4;122;57.33474609705424;9.900792234980104;5.790925083195573;0.38880290050880445;0.0514705882353145;1.4308231707316814;0.6065573770491803;0.0;{'ML_CLOSE': 86, 'TIME': 35, 'SL': 1}
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;2022Q1;129;63.01794669395669;21.1098402472372;2.9852403408028776;0.3248690422226316;-0.0340425531914822;3.3617705262217825;0.4186046511627907;0.0;{'ML_CLOSE': 94, 'TIME': 26, 'SL': 9}
