split,time,target_direction_3,target_is_tie_3,target_up_3,target_dn_3
train,2006.05.18 14:00,-1,False,5.0,7.5
train,2006.05.25 12:00,-1,False,1.2000000000000455,7.5
train,2006.05.25 15:00,1,False,6.0,4.0
train,2006.05.25 15:00,1,False,6.0,4.0
train,2006.05.26 13:00,-1,False,2.2000000000000455,12.0
train,2006.05.26 13:00,-1,False,2.2000000000000455,12.0
train,2006.05.30 13:00,1,False,12.600000000000023,1.2999999999999545
train,2006.06.02 13:00,1,False,7.7000000000000455,2.5
train,2007.11.16 13:00,-1,False,5.800000000000068,5.899999999999977
train,2008.01.23 13:00,-1,False,8.899999999999977,10.399999999999977
train,2008.01.23 14:00,1,False,14.199999999999932,0.7000000000000455
train,2008.01.23 15:00,1,False,7.199999999999932,6.600000000000023
train,2008.01.24 12:00,1,False,11.699999999999932,1.3000000000000682
train,2008.01.24 14:00,1,False,10.099999999999909,0.6000000000000227
train,2008.01.24 15:00,-1,False,2.0,5.5
train,2008.01.25 13:00,-1,False,1.6000000000000227,8.100000000000023
train,2008.01.25 15:00,-1,False,0.5,8.5
train,2008.01.25 16:00,-1,False,2.199999999999932,6.899999999999977
train,2008.01.29 13:00,-1,False,1.8999999999999773,7.0
train,2008.01.30 15:00,1,False,3.6000000000000227,0.10000000000002274
train,2008.02.01 13:00,-1,False,2.5,29.200000000000045
train,2008.03.12 13:00,1,False,4.399999999999977,2.6000000000000227
train,2008.03.14 14:00,-1,False,2.6000000000000227,8.600000000000023
train,2008.03.17 03:00,1,False,4.999999999999886,0.3000000000000682
train,2008.03.18 14:00,-1,False,2.199999999999932,4.600000000000023
train,2008.03.19 15:00,-1,False,0.6000000000000227,21.600000000000023
train,2008.03.20 14:00,1,False,8.600000000000023,2.199999999999932
train,2008.03.20 15:00,-1,False,0.39999999999997726,10.399999999999977
train,2008.03.21 12:00,1,False,0.39999999999997726,0.0
train,2008.03.21 13:00,1,False,0.20000000000004547,0.10000000000002274
train,2008.03.25 13:00,-1,False,2.8999999999999773,5.399999999999977
train,2008.03.25 15:00,1,False,6.399999999999977,5.100000000000023
train,2008.03.26 13:00,1,False,8.899999999999977,2.3999999999999773
train,2008.03.26 15:00,1,False,4.2999999999999545,1.2000000000000455
train,2008.03.27 14:00,-1,False,1.0,5.2000000000000455
train,2008.03.27 15:00,1,False,5.800000000000068,5.100000000000023
train,2008.03.28 13:00,-1,False,0.0,11.700000000000045
train,2008.03.28 15:00,-1,False,0.5,10.899999999999977
train,2008.03.31 14:00,-1,False,1.1000000000000227,17.800000000000068
train,2008.04.01 13:00,-1,False,2.3999999999999773,25.200000000000045
train,2008.04.01 15:00,-1,False,0.20000000000004547,16.100000000000023
train,2008.04.02 12:00,-1,False,2.699999999999932,8.900000000000091
train,2008.04.02 15:00,-1,False,5.399999999999977,5.899999999999977
train,2008.04.02 15:00,-1,False,5.399999999999977,5.899999999999977
train,2008.04.03 13:00,1,False,9.800000000000068,5.599999999999909
train,2008.04.03 15:00,-1,False,9.300000000000068,11.599999999999909
train,2008.04.04 13:00,-1,False,4.7999999999999545,5.7000000000000455
train,2008.04.09 14:00,1,False,15.300000000000068,0.2999999999999545
train,2008.04.10 14:00,-1,False,4.899999999999977,9.600000000000023
train,2008.04.11 12:00,1,False,6.300000000000068,2.2999999999999545
train,2008.04.11 13:00,-1,False,4.7000000000000455,10.0
train,2008.05.02 13:00,-1,False,2.900000000000091,9.399999999999977
train,2008.07.24 14:00,-1,False,5.699999999999932,6.100000000000023
train,2008.08.11 20:00,-1,False,0.09999999999990905,5.0
train,2008.08.12 02:00,-1,False,2.3999999999999773,9.800000000000068
train,2008.08.12 04:00,1,False,6.7999999999999545,2.2000000000000455
train,2008.08.12 08:00,-1,False,1.2000000000000455,9.299999999999955
train,2008.08.12 09:00,-1,False,7.2999999999999545,7.399999999999977
train,2008.08.12 15:00,-1,False,2.7000000000000455,11.100000000000023
train,2008.08.13 14:00,1,False,8.0,6.899999999999977
train,2008.08.14 13:00,-1,False,0.20000000000004547,18.799999999999955
train,2008.08.14 14:00,-1,False,1.6999999999999318,9.900000000000091
train,2008.08.15 11:00,1,False,18.0,0.5
train,2008.08.15 16:00,1,False,10.900000000000091,0.09999999999990905
train,2008.08.19 13:00,-1,False,2.300000000000068,7.399999999999977
train,2008.08.19 15:00,1,False,24.700000000000045,1.7000000000000455
train,2008.08.19 15:00,1,False,24.700000000000045,1.7000000000000455
train,2008.08.20 12:00,1,False,6.0,3.2999999999999545
train,2008.08.20 13:00,-1,False,5.899999999999977,8.899999999999977
train,2008.08.20 15:00,-1,False,5.099999999999909,13.0
train,2008.08.20 15:00,-1,False,5.099999999999909,13.0
train,2008.08.21 12:00,1,False,7.0,2.900000000000091
train,2008.08.21 15:00,1,False,8.0,0.599999999999909
train,2008.08.22 14:00,1,False,5.199999999999932,0.7000000000000455
train,2008.08.22 15:00,1,False,7.2999999999999545,2.7000000000000455
train,2008.08.25 13:00,-1,False,4.600000000000023,5.300000000000068
train,2008.08.26 13:00,1,False,20.90000000000009,0.2999999999999545
train,2008.08.27 13:00,-1,False,2.5,8.100000000000023
train,2008.08.27 15:00,-1,False,0.40000000000009095,6.7999999999999545
train,2008.08.27 15:00,-1,False,0.40000000000009095,6.7999999999999545
train,2008.08.29 14:00,1,False,4.2999999999999545,3.400000000000091
train,2008.09.04 14:00,-1,False,0.900000000000091,15.5
train,2008.09.05 13:00,1,False,20.5,2.3999999999999773
train,2008.09.10 15:00,-1,False,0.10000000000002274,19.700000000000045
train,2008.09.11 15:00,-1,False,6.899999999999977,7.2000000000000455
train,2008.09.11 16:00,1,False,8.600000000000023,2.3999999999999773
train,2008.09.12 12:00,1,False,4.600000000000023,3.2999999999999545
train,2008.09.12 15:00,1,False,10.899999999999977,3.7000000000000455
train,2008.09.15 14:00,1,False,6.699999999999932,3.2000000000000455
train,2008.09.15 14:00,1,False,6.699999999999932,3.2000000000000455
train,2008.09.16 14:00,-1,False,1.8999999999999773,8.299999999999955
train,2008.09.16 15:00,-1,False,3.5,5.699999999999932
train,2008.09.17 12:00,1,False,21.200000000000045,2.2999999999999545
train,2008.09.17 14:00,1,False,56.700000000000045,1.1999999999999318
train,2008.09.18 11:00,1,False,10.200000000000045,2.8999999999999773
train,2008.09.18 12:00,-1,False,0.0,17.699999999999932
train,2008.09.18 13:00,-1,False,2.2999999999999545,23.700000000000045
train,2008.09.18 14:00,-1,False,5.7999999999999545,17.90000000000009
train,2008.09.18 17:00,1,False,34.0,3.900000000000091
train,2008.09.18 20:00,-1,False,0.0,53.200000000000045
train,2008.09.19 11:00,1,False,32.39999999999998,2.1000000000000227
train,2008.09.19 13:00,1,False,32.90000000000009,0.0
train,2008.09.19 14:00,1,False,16.800000000000068,3.1000000000000227
train,2008.09.19 16:00,-1,False,4.400000000000091,6.5
train,2008.09.19 18:00,1,False,18.0,1.8999999999999773
train,2008.09.22 11:00,1,False,10.800000000000068,0.8999999999999773
train,2008.09.22 12:00,1,False,15.399999999999977,4.7000000000000455
train,2008.09.22 14:00,1,False,20.200000000000045,2.599999999999909
train,2008.09.22 15:00,1,False,8.100000000000023,3.5
train,2008.09.22 18:00,1,False,9.199999999999932,1.400000000000091
train,2008.09.23 07:00,-1,False,0.6000000000000227,11.700000000000045
train,2008.09.23 10:00,1,False,9.800000000000068,0.7999999999999545
train,2008.09.23 13:00,-1,False,7.100000000000023,11.199999999999932
train,2008.09.23 15:00,-1,False,1.5,15.899999999999977
train,2008.09.23 16:00,-1,False,2.699999999999932,18.5
train,2008.09.23 18:00,-1,False,7.399999999999977,8.299999999999955
train,2008.09.23 18:00,-1,False,7.399999999999977,8.299999999999955
train,2008.09.24 08:00,1,False,3.699999999999932,3.0
train,2008.09.24 09:00,1,False,4.699999999999932,2.2000000000000455
train,2008.09.24 11:00,1,False,13.399999999999977,1.3999999999999773
train,2008.09.24 13:00,1,False,11.5,2.0
train,2008.09.24 16:00,-1,False,3.1000000000000227,6.5
train,2008.09.25 10:00,-1,False,3.7999999999999545,6.100000000000023
train,2008.09.25 11:00,-1,False,0.1999999999999318,8.600000000000023
train,2008.09.25 14:00,-1,False,6.7000000000000455,20.399999999999977
train,2008.09.25 17:00,1,False,9.0,0.8999999999999773
train,2008.09.25 17:00,1,False,9.0,0.8999999999999773
train,2008.09.26 10:00,1,False,9.399999999999977,4.7999999999999545
train,2008.09.26 16:00,-1,False,0.0,12.399999999999977
train,2008.09.26 18:00,-1,False,1.2000000000000455,8.399999999999977
train,2008.09.29 10:00,1,False,16.799999999999955,0.20000000000004547
train,2008.09.29 10:00,1,False,16.799999999999955,0.20000000000004547
train,2008.09.29 13:00,1,False,23.399999999999977,8.700000000000045
train,2008.09.29 15:00,1,False,11.700000000000045,10.399999999999977
train,2008.09.29 17:00,1,False,18.800000000000068,5.5
train,2008.09.30 07:00,-1,False,4.5,11.599999999999909
train,2008.09.30 09:00,1,False,4.800000000000068,2.599999999999909
train,2008.09.30 11:00,-1,False,4.399999999999977,13.399999999999977
train,2008.09.30 12:00,-1,False,5.0,15.600000000000023
train,2008.09.30 13:00,-1,False,1.6999999999999318,22.399999999999977
train,2008.09.30 14:00,-1,False,0.0,16.399999999999977
train,2008.09.30 18:00,-1,False,2.400000000000091,18.59999999999991
train,2008.10.01 07:00,1,False,6.400000000000091,2.599999999999909
train,2008.10.01 09:00,-1,False,4.699999999999932,4.900000000000091
train,2008.10.01 10:00,-1,False,0.0,12.200000000000045
train,2008.10.01 10:00,-1,False,0.0,12.200000000000045
train,2008.10.01 14:00,1,False,11.699999999999932,4.600000000000023
train,2008.10.01 16:00,1,False,11.200000000000045,5.5
train,2008.10.01 17:00,-1,False,6.7000000000000455,22.0
train,2008.10.01 18:00,-1,False,1.0,21.899999999999977
train,2008.10.01 19:00,-1,False,0.3000000000000682,20.0
train,2008.10.02 09:00,1,False,5.699999999999932,0.5
train,2008.10.02 10:00,-1,False,1.1999999999999318,6.100000000000023
train,2008.10.02 12:00,-1,False,6.400000000000091,17.299999999999955
train,2008.10.02 15:00,-1,False,5.699999999999932,17.399999999999977
train,2008.10.02 17:00,-1,False,3.2999999999999545,5.0
train,2008.10.02 19:00,-1,False,3.3999999999999773,7.5
train,2008.10.03 07:00,-1,False,0.7999999999999545,11.0
train,2008.10.03 09:00,1,False,3.3999999999999773,2.6000000000000227
train,2008.10.03 10:00,-1,False,2.5,2.7000000000000455
train,2008.10.03 11:00,1,False,8.600000000000023,6.5
train,2008.10.03 13:00,-1,False,7.2000000000000455,20.899999999999977
train,2008.10.03 15:00,1,False,16.600000000000023,4.899999999999977
train,2008.10.03 16:00,-1,False,1.2000000000000455,19.799999999999955
train,2008.10.03 18:00,-1,False,6.0,7.399999999999977
train,2008.10.06 10:00,1,False,30.700000000000045,0.39999999999997726
train,2008.10.06 16:00,-1,False,1.2000000000000455,12.5
train,2008.10.06 18:00,-1,False,5.300000000000068,8.799999999999955
train,2008.10.07 13:00,1,False,13.899999999999977,4.2000000000000455
train,2008.10.07 14:00,-1,False,3.7000000000000455,14.399999999999977
train,2008.10.07 16:00,1,False,10.600000000000023,7.7000000000000455
train,2008.10.07 17:00,1,False,10.5,8.900000000000091
train,2008.10.07 18:00,1,False,15.399999999999977,0.2999999999999545
train,2008.10.08 13:00,1,False,20.0,2.199999999999932
train,2008.10.08 14:00,-1,False,1.599999999999909,17.200000000000045
train,2008.10.08 15:00,1,False,10.199999999999932,5.100000000000023
train,2008.10.08 17:00,-1,False,1.400000000000091,16.09999999999991
train,2008.10.08 18:00,-1,False,1.400000000000091,13.099999999999909
train,2008.10.09 11:00,-1,False,1.2999999999999545,4.800000000000068
train,2008.10.09 16:00,-1,False,2.1000000000000227,8.699999999999932
train,2008.10.09 18:00,1,False,30.5,5.600000000000023
train,2008.10.10 07:00,1,False,14.800000000000068,3.8999999999999773
train,2008.10.10 10:00,-1,False,0.09999999999990905,9.0
train,2008.10.10 12:00,-1,False,3.3999999999999773,21.899999999999977
train,2008.10.10 16:00,-1,False,6.199999999999932,64.30000000000007
train,2008.10.13 07:00,-1,False,2.0,7.7999999999999545
train,2008.10.13 09:00,-1,False,5.0,9.700000000000045
train,2008.10.13 10:00,-1,False,2.400000000000091,12.299999999999955
train,2008.10.13 12:00,-1,False,4.899999999999977,25.899999999999977
train,2008.10.13 13:00,-1,False,6.7999999999999545,31.5
train,2008.10.13 15:00,-1,False,5.5,8.199999999999932
train,2008.10.13 17:00,1,False,11.0,3.900000000000091
train,2008.10.14 07:00,1,False,5.100000000000023,3.2999999999999545
train,2008.10.14 08:00,-1,False,6.300000000000068,7.099999999999909
train,2008.10.14 09:00,1,False,11.0,1.900000000000091
train,2008.10.14 10:00,1,False,8.300000000000068,4.899999999999977
train,2008.10.14 13:00,-1,False,8.399999999999977,13.0
train,2008.10.14 14:00,-1,False,5.0,9.300000000000068
train,2008.10.14 15:00,-1,False,4.399999999999977,9.5
train,2008.10.14 17:00,1,False,6.599999999999909,3.1000000000000227
train,2008.10.14 19:00,-1,False,1.3000000000000682,7.199999999999932
train,2008.10.15 07:00,1,False,3.5,1.3000000000000682
train,2008.10.15 09:00,-1,False,1.8000000000000682,4.2999999999999545
train,2008.10.15 12:00,-1,False,2.1000000000000227,14.599999999999909
train,2008.10.15 12:00,-1,False,2.1000000000000227,14.599999999999909
train,2008.10.15 15:00,1,False,9.200000000000045,4.199999999999932
train,2008.10.15 17:00,-1,False,3.0,13.299999999999955
train,2008.10.15 19:00,1,False,9.300000000000068,0.39999999999997726
train,2008.10.16 08:00,-1,False,1.6999999999999318,6.900000000000091
train,2008.10.16 10:00,-1,False,3.3999999999999773,6.399999999999977
train,2008.10.16 13:00,-1,False,8.300000000000068,38.299999999999955
train,2008.10.16 14:00,-1,False,4.900000000000091,49.69999999999993
train,2008.10.16 16:00,-1,False,3.400000000000091,19.699999999999932
train,2008.10.16 16:00,-1,False,3.400000000000091,19.699999999999932
train,2008.10.16 18:00,-1,False,1.2000000000000455,7.600000000000023
train,2008.10.16 19:00,-1,False,3.1000000000000227,5.899999999999977
train,2008.10.16 21:00,-1,False,1.1000000000000227,10.099999999999909
train,2008.10.17 02:00,1,False,4.399999999999977,0.2999999999999545
train,2008.10.17 06:00,1,False,10.599999999999909,1.0
train,2008.10.17 08:00,-1,False,0.40000000000009095,17.5
train,2008.10.17 09:00,-1,False,3.2999999999999545,15.800000000000068
train,2008.10.17 15:00,-1,False,6.100000000000023,12.700000000000045
train,2008.10.17 17:00,1,False,10.800000000000068,2.3999999999999773
train,2008.10.17 17:00,1,False,10.800000000000068,2.3999999999999773
train,2008.10.17 20:00,1,False,4.5,3.5
train,2008.10.20 01:00,1,False,11.900000000000091,0.0
train,2008.10.20 08:00,-1,False,0.5,6.300000000000068
train,2008.10.20 10:00,-1,False,3.1000000000000227,7.300000000000068
train,2008.10.20 12:00,-1,False,0.39999999999997726,14.0
train,2008.10.20 17:00,1,False,5.300000000000068,4.099999999999909
train,2008.10.20 18:00,1,False,7.100000000000023,4.2999999999999545
train,2008.10.21 07:00,-1,False,2.8999999999999773,16.200000000000045
