time_basis;calendar_field;calendar_value;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
signal_time;month;1;37;25.426684100518944;2.404258055617189;10.57568842958155;0.6222277309432906;0.0434210526315399;0.6370168067227073;0.5405405405405406;0.0;{'ML_CLOSE': 26, 'TIME': 11}
signal_time;month;2;30;17.88858777065549;7.277719244160592;2.457993661270833;0.35369561754983003;-0.09868421052633185;3.1190889111877773;0.3;0.0;{'ML_CLOSE': 23, 'TIME': 5, 'SL': 2}
signal_time;month;3;54;24.8029060852591;5.530961341699065;4.484375238399307;0.3568878656214821;-0.00040010002500590015;1.6911123658949485;0.5;0.0;{'ML_CLOSE': 38, 'TIME': 14, 'SL': 2}
signal_time;month;4;68;31.55913014129689;8.05188814411191;3.91946951776461;0.34569473525272026;0.0815540540540537;1.7839622641509436;0.5441176470588235;0.0;{'ML_CLOSE': 44, 'TIME': 23, 'SL': 1}
signal_time;month;5;55;29.32735131982965;4.717105473177915;6.217234591549595;0.447459015393668;0.0426829268292292;1.2216575922564878;0.5818181818181818;0.0;{'ML_CLOSE': 39, 'TIME': 16}
signal_time;month;6;50;23.441304341306992;5.072557921306583;4.621199936001719;0.3673749284000082;0.060465440356729;1.4157323232323442;0.54;0.0;{'ML_CLOSE': 34, 'TIME': 16}
signal_time;month;7;66;26.18707706614204;8.68146640874232;3.0164347626538532;0.26523652511211704;0.07554347826086225;3.3905792682927585;0.5757575757575758;0.0;{'ML_CLOSE': 46, 'TIME': 18, 'SL': 2}
signal_time;month;8;66;21.53854351463248;7.795181846845016;2.763058506883952;0.20823275254223428;-0.0159574468085201;1.8927809388335497;0.48484848484848486;0.0;{'ML_CLOSE': 51, 'TIME': 13, 'SL': 2}
signal_time;month;9;73;40.218206481829434;8.26438804678053;4.866447007833425;0.43772354020614945;0.0999999999999943;1.379668539288212;0.5753424657534246;0.0;{'ML_CLOSE': 46, 'TIME': 24, 'SL': 3}
signal_time;month;10;54;16.151173559404754;6.929183132032069;2.330891427120966;0.17077760050690152;-0.0315043604651122;2.9743302983102407;0.42592592592592593;0.0;{'ML_CLOSE': 43, 'TIME': 10, 'SL': 1}
signal_time;month;11;76;32.12991763080104;7.079525553585059;4.538428089228452;0.3296104220686312;0.026233692569472902;2.1233896185116166;0.5657894736842105;0.0;{'ML_CLOSE': 55, 'TIME': 21}
signal_time;month;12;31;9.589028712318244;2.2652601259738048;4.233080608433899;0.23625059955949804;0.0336956521739316;0.7511230866494385;0.5806451612903226;0.0;{'ML_CLOSE': 24, 'TIME': 7}
signal_time;quarter;1;121;68.11817795643353;15.212938641476846;4.477647584189607;0.43723338276823703;-0.0129032258064397;3.119088911187788;0.4628099173553719;0.0;{'ML_CLOSE': 87, 'TIME': 30, 'SL': 4}
signal_time;quarter;2;173;84.32778580243354;17.84155153859641;4.7264827624440775;0.3843134928545499;0.0584905660377462;1.7839622641509436;0.5549132947976878;0.0;{'ML_CLOSE': 117, 'TIME': 55, 'SL': 1}
signal_time;quarter;3;205;87.94382706260396;24.74103630236787;3.5545733003183537;0.30830629639139556;0.038888888888904;3.3905792682927585;0.5463414634146342;0.0;{'ML_CLOSE': 143, 'TIME': 55, 'SL': 7}
signal_time;quarter;4;161;57.870119902524024;16.273968811590933;3.5559930446288397;0.2583611869002056;0.0051282051282004;3.3286832662641856;0.5217391304347826;0.0;{'ML_CLOSE': 122, 'TIME': 38, 'SL': 1}
fill_time;month;1;37;25.426684100518944;2.404258055617189;10.57568842958155;0.6222277309432906;0.0434210526315399;0.6370168067227073;0.5405405405405406;0.0;{'ML_CLOSE': 26, 'TIME': 11}
fill_time;month;2;30;17.88858777065549;7.277719244160592;2.457993661270833;0.35369561754983003;-0.09868421052633185;3.1190889111877773;0.3;0.0;{'ML_CLOSE': 23, 'TIME': 5, 'SL': 2}
fill_time;month;3;53;24.8029060852591;5.428635760303703;4.568902239974838;0.3655522702821773;0.0026881720430082;1.6911123658949485;0.5094339622641509;0.0;{'ML_CLOSE': 37, 'TIME': 14, 'SL': 2}
fill_time;month;4;68;31.55913014129689;7.855122816416367;4.017649485421371;0.3485883430129489;0.0815540540540537;1.7839622641509436;0.5441176470588235;0.0;{'ML_CLOSE': 44, 'TIME': 23, 'SL': 1}
fill_time;month;5;55;29.32735131982965;4.762787291359726;6.15760258137772;0.44662843688127146;0.0426829268292292;1.2216575922564878;0.5818181818181818;0.0;{'ML_CLOSE': 39, 'TIME': 16}
fill_time;month;6;49;23.441304341306992;4.995238811844606;4.692729461847441;0.3764503169278037;0.0619565217391232;1.314595959595966;0.5510204081632653;0.0;{'ML_CLOSE': 33, 'TIME': 16}
fill_time;month;7;67;24.81434979341477;9.012194609113392;2.7534192135977382;0.23585306245225937;0.038888888888904;3.3905792682927585;0.5522388059701493;0.0;{'ML_CLOSE': 48, 'TIME': 17, 'SL': 2}
fill_time;month;8;67;22.91127078735975;7.795181846845016;2.9391579616109595;0.22561326776887666;-0.0159574468085201;1.8927809388335497;0.4925373134328358;0.0;{'ML_CLOSE': 51, 'TIME': 14, 'SL': 2}
fill_time;month;9;72;39.12285764462014;8.26438804678053;4.733908599543655;0.42858985552555023;0.09935897435897059;1.379668539288212;0.5694444444444444;0.0;{'ML_CLOSE': 46, 'TIME': 23, 'SL': 3}
fill_time;month;10;55;17.246522396614047;6.929183132032069;2.4889690556578334;0.18758798662876325;-0.0281249999999977;2.9743302983102407;0.43636363636363634;0.0;{'ML_CLOSE': 43, 'TIME': 11, 'SL': 1}
fill_time;month;11;74;32.12991763080104;6.150038374097853;5.224344252244469;0.3510794494149079;0.03109756097558125;1.4272357723577578;0.581081081081081;0.0;{'ML_CLOSE': 53, 'TIME': 21}
fill_time;month;12;33;9.589028712318244;3.1947473054610116;3.0014983331943115;0.19376610323809793;0.0161764705882206;1.1630288461538294;0.5454545454545454;0.0;{'ML_CLOSE': 26, 'TIME': 7}
fill_time;quarter;1;120;68.11817795643353;15.110613060081484;4.507969179383262;0.44172970746960033;-0.00984144341169135;3.119088911187788;0.4666666666666667;0.0;{'ML_CLOSE': 86, 'TIME': 30, 'SL': 4}
fill_time;quarter;2;172;84.32778580243354;17.6131489196207;4.787774530679977;0.38787579583030724;0.0587324625060405;1.7839622641509436;0.5581395348837209;0.0;{'ML_CLOSE': 116, 'TIME': 55, 'SL': 1}
fill_time;quarter;3;206;86.84847822539469;25.071764502738937;3.4639954525700425;0.29988695981871705;0.0366666666666585;3.3905792682927585;0.5388349514563107;0.0;{'ML_CLOSE': 145, 'TIME': 54, 'SL': 7}
fill_time;quarter;4;162;58.965468739733325;16.273968811590933;3.623299849126901;0.2635277773342123;0.00867521367520575;3.328683266264182;0.5246913580246914;0.0;{'ML_CLOSE': 122, 'TIME': 39, 'SL': 1}
exit_time;month;1;37;25.426684100518944;2.404258055617189;10.57568842958155;0.6222277309432906;0.0434210526315399;0.6370168067227073;0.5405405405405406;0.0;{'ML_CLOSE': 26, 'TIME': 11}
