stop_policy_id;entry_id;mask_id;exit_id;split;spread;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts;risk_distance_atr;tp_distance_atr;bs_p05;negative_years;pf_without_best_year;effective_profit_years;n_years;filter_id;filter_family;top_fraction;score_cutoff_on_val_select;entry_filter_score_col;selected_fraction;sl_rate
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;2294;1132.446997719683;353.50748888689407;3.2034597096810393;0.33955514770391837;0.014779202279188912;7.810378642389139;0.5204882301656495;0.0;{'ML_CLOSE': 1534, 'TIME': 639, 'SL': 121};2.0;;2.909424729880262;0;2.903073408989686;2.206208875566699;3;M0_no_mask;none;1.0;;;1.0;0.05274629468177855
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;2298;1002.1539329859071;395.8398407152712;2.531715683734724;0.26384425251115573;-0.019296690307338785;9.135903379797526;0.4725848563968668;0.0;{'ML_CLOSE': 1605, 'TIME': 549, 'SL': 144};2.0;;2.286457850223352;0;2.4867889953304974;1.9766168262821235;2;M0_no_mask;none;1.0;;;1.0;0.06266318537859007
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;1147;544.6216098510058;180.51178554154203;3.0170972394800755;0.3174453568521916;0.013970588235281505;7.17044559092751;0.5222319093286836;0.0;{'ML_CLOSE': 764, 'TIME': 320, 'SL': 63};2.0;;2.597075314295429;0;2.43120174405075;2.1648511801297294;3;movement_top50;movement;0.5;5.408338124182226;movement_score;0.5;0.05492589363557106
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;1565;686.2954780270687;267.4194517800663;2.566363342153205;0.2676524129373817;-0.026315789473659805;6.807666265218948;0.46900958466453674;0.0;{'ML_CLOSE': 1091, 'TIME': 378, 'SL': 96};2.0;;2.2652350927084512;0;2.5417209974674693;1.7134426753139387;2;movement_top50;movement;0.5;5.408338124182226;movement_score;0.6810269799825935;0.06134185303514377
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;682;337.0072186105035;103.66125745911708;3.2510431271144444;0.3421495031545256;0.02472222222222658;3.3204478701838696;0.5425219941348973;0.0;{'ML_CLOSE': 442, 'TIME': 201, 'SL': 39};2.0;;2.6498966989963684;0;2.6932974665112765;2.210314590562882;3;movement_top30;movement;0.3;6.532486531337606;movement_score;0.2972972972972973;0.05718475073313783
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;1147;495.52519467519414;193.25334470443542;2.5641222170465294;0.26353256318287593;-0.00937499999999134;6.420388846898263;0.4847428073234525;0.0;{'ML_CLOSE': 794, 'TIME': 282, 'SL': 71};2.0;;2.2163705611711957;0;2.5423503131895013;1.5978696718692158;2;movement_top30;movement;0.3;6.532486531337606;movement_score;0.4991296779808529;0.06190061028770706
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;455;185.14679998110887;68.1096481231802;2.718363771991015;0.25722450957786513;0.022950819672128826;5.815998602296146;0.545054945054945;0.0;{'ML_CLOSE': 309, 'TIME': 119, 'SL': 27};2.0;;2.1869924947332358;0;2.3461258125592894;2.2675404383379583;3;movement_top20;movement;0.2;7.280508813810246;movement_score;0.1983435047951177;0.05934065934065934
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;879;378.02071404900585;141.55083216550244;2.6705651126587573;0.2690214810961359;0.0020833333333077735;7.098349550337815;0.5051194539249146;0.0;{'ML_CLOSE': 618, 'TIME': 212, 'SL': 49};2.0;;2.2792231304039205;0;2.664553655309301;1.500353148648746;2;movement_top20;movement;0.2;7.280508813810246;movement_score;0.3825065274151436;0.055745164960182024
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;226;97.24815962240126;32.87391998023222;2.9582161081148404;0.2848417683281815;0.048636363636368495;4.670683459185676;0.5796460176991151;0.0;{'ML_CLOSE': 148, 'TIME': 63, 'SL': 15};2.0;;2.198839748604372;0;2.8904980616803133;2.0598995558381596;3;movement_top10;movement;0.1;8.172507407623032;movement_score;0.0985178727114211;0.06637168141592921
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;639;288.82035515075916;108.2062639387263;2.6691648397943837;0.28265115995623286;0.0012195121951208354;6.918526680467018;0.5023474178403756;0.0;{'ML_CLOSE': 440, 'TIME': 160, 'SL': 39};2.0;;2.2820128097916674;0;2.102038508493903;1.3779698209285973;2;movement_top10;movement;0.1;8.172507407623032;movement_score;0.2780678851174935;0.06103286384976526
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;1481;747.435449637924;223.22505090601692;3.348349329989008;0.353957055186973;0.024137931034473748;5.024416236381342;0.5313977042538826;0.0;{'ML_CLOSE': 976, 'TIME': 432, 'SL': 73};2.0000000000000107;;2.9830988161892704;0;3.024970105851132;2.182164295513814;3;simple_stop_distance_top50;simple_stop_distance;0.5;2.0;stop_distance_atr;0.6455972101133391;0.04929101958136394
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;1410;608.2017683218447;243.44241443584525;2.4983393700366254;0.25869457722411304;-0.019296690307338785;7.214877738771889;0.47375886524822697;0.0;{'ML_CLOSE': 977, 'TIME': 341, 'SL': 92};2.000000000000011;;2.2137043323417562;0;2.3850683236788823;1.999993943217284;2;simple_stop_distance_top50;simple_stop_distance;0.5;2.0;stop_distance_atr;0.6135770234986945;0.06524822695035461
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;731;395.88037484788765;117.36798913995432;3.3729842161291863;0.3810018956332878;0.026190476190488178;5.024416236381313;0.5253077975376197;0.0;{'ML_CLOSE': 478, 'TIME': 210, 'SL': 43};2.0000000000000173;;2.8309090706364795;0;3.200166947041552;2.6511348315145895;3;simple_stop_distance_top30;simple_stop_distance;0.3;2.000000000000011;stop_distance_atr;0.31865736704446385;0.058823529411764705
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;740;313.9480077107302;121.42800717282417;2.585466195322626;0.26016216288906224;-0.0160714285714137;4.258565617793273;0.47702702702702704;0.0;{'ML_CLOSE': 510, 'TIME': 188, 'SL': 42};2.000000000000019;;2.1415252251591306;0;2.5465688183344324;1.9829883219444688;2;simple_stop_distance_top30;simple_stop_distance;0.3;2.000000000000011;stop_distance_atr;0.32201914708442125;0.05675675675675676
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;1135;609.8286688580638;177.47298015165808;3.4361775428402663;0.3809301222082869;0.04270833333331757;5.503135674843662;0.5515418502202644;0.0;{'ML_CLOSE': 716, 'TIME': 340, 'SL': 79};2.0;;2.9776551313462845;0;2.7636473541015745;2.0206537166425336;3;simple_r_value_top50;simple_r_value;0.5;2.0000000000000413;r_value_atr;0.49476896251089797;0.06960352422907488
