year;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
2019;184399;100588.96891991029;141779.68178383942;0.709473795217502;-0.2233781791871383;-1.0;41237.51498625835;0.1988242886349709;0.2526640600003254;{'SL': 138899, 'TIME': 28617, 'ML_CLOSE': 10575, 'GIVEBACK': 4397, 'TP': 1911}
2020;350956;233511.0504796252;258551.4299270545;0.90315126296345;-0.0713490564271;-1.0;28889.849504440925;0.2278946648582728;0.2509117952107956;{'SL': 253265, 'TIME': 63675, 'ML_CLOSE': 20777, 'GIVEBACK': 9204, 'TP': 4035}
2021;322364;203837.23679437835;245526.37988133056;0.830205034965686;-0.1293231970286764;-1.0;42208.628007300525;0.2033167475276395;0.2686683376555694;{'SL': 239941, 'TIME': 52027, 'ML_CLOSE': 18634, 'GIVEBACK': 8250, 'TP': 3512}
2022;303977;209683.48930036224;227262.0070525282;0.9226508734119252;-0.0578284467317131;-1.0;18086.38352888304;0.2177533168627889;0.2310240577412106;{'SL': 221713, 'TIME': 52404, 'ML_CLOSE': 18474, 'GIVEBACK': 8000, 'TP': 3386}
