representation,model_key,seed,split_name,pred_entry_up_3,pred_entry_dn_3,pred_entry_log_ratio_3,pred_entry_up_6,pred_entry_dn_6,pred_entry_log_ratio_6,pred_entry_up_12,pred_entry_dn_12,pred_entry_log_ratio_12,pred_entry_up_24,pred_entry_dn_24,pred_entry_log_ratio_24,time
all100_sequence,transformer_small,42,val_eval,0.8865746855735779,0.8607443571090698,0.03086954727768898,1.3715243339538574,1.3153835535049438,0.0390271432697773,2.288231372833252,2.105388879776001,0.06646733731031418,3.80765438079834,3.643616199493408,0.06776244938373566,2023.07.17 02:00
all100_sequence,transformer_small,42,val_eval,0.9803449511528015,0.954867422580719,0.029097892343997955,1.525437831878662,1.473359227180481,0.03593406826257706,2.541323661804199,2.3709590435028076,0.06110541522502899,4.119784355163574,3.963350534439087,0.06298096477985382,2023.07.17 04:00
all100_sequence,transformer_small,42,val_eval,1.0495760440826416,1.0233784914016724,0.0278338436037302,1.6446878910064697,1.5987317562103271,0.032104287296533585,2.7431893348693848,2.596679925918579,0.0540517158806324,4.3190388679504395,4.187720775604248,0.05635283887386322,2023.07.17 06:00
all100_sequence,transformer_small,42,val_eval,1.1803584098815918,1.1573765277862549,0.02385346032679081,1.8458917140960693,1.8031322956085205,0.026502445340156555,2.9857327938079834,2.8377723693847656,0.04729732871055603,4.669800758361816,4.547473907470703,0.0485977828502655,2023.07.17 08:00
all100_sequence,transformer_small,42,val_eval,1.416998028755188,1.3831756114959717,0.026364928111433983,2.082237720489502,2.030050277709961,0.025430133566260338,3.127065896987915,2.9876036643981934,0.042454808950424194,4.852410793304443,4.751819610595703,0.04477553442120552,2023.07.17 10:00
all100_sequence,transformer_small,42,val_eval,2.0227932929992676,1.8746299743652344,0.04949053376913071,2.4993927478790283,2.2775588035583496,0.04544133320450783,3.099949836730957,2.8568475246429443,0.05546240136027336,4.836848258972168,4.574439525604248,0.06523191928863525,2023.07.17 13:00
all100_sequence,transformer_small,42,val_eval,1.8492270708084106,1.7165274620056152,0.04801221936941147,2.2905375957489014,2.08661150932312,0.046879272907972336,2.878558397293091,2.6365575790405273,0.0599745474755764,4.613548278808594,4.356753349304199,0.06825430691242218,2023.07.17 15:00
all100_sequence,transformer_small,42,val_eval,1.601128101348877,1.503612756729126,0.04234698414802551,2.0547070503234863,1.900640845298767,0.043423451483249664,2.7154197692871094,2.498884916305542,0.05997370928525925,4.425034046173096,4.212362289428711,0.06569746881723404,2023.07.17 16:00
all100_sequence,transformer_medium,42,val_eval,1.4713491201400757,1.3426001071929932,0.0711650624871254,2.2563722133636475,1.933345913887024,0.133074551820755,4.194333076477051,3.131408929824829,0.25928735733032227,7.1258931159973145,4.994968414306641,0.35998624563217163,2023.07.17 02:00
all100_sequence,transformer_medium,42,val_eval,1.5283708572387695,1.4099555015563965,0.06621144711971283,2.4001576900482178,2.062534809112549,0.12324357777833939,4.484869003295898,3.4739060401916504,0.22964060306549072,7.101745128631592,5.2309722900390625,0.3139190673828125,2023.07.17 04:00
all100_sequence,transformer_medium,42,val_eval,1.711661458015442,1.5521398782730103,0.07479902356863022,2.8210721015930176,2.34590482711792,0.1364736706018448,5.135038375854492,3.9608263969421387,0.23043060302734375,7.29386043548584,5.451384544372559,0.3012160658836365,2023.07.17 06:00
all100_sequence,transformer_medium,42,val_eval,2.154582977294922,1.614193081855774,0.19300200045108795,4.163723945617676,2.4324660301208496,0.3830123543739319,7.513578414916992,3.6264920234680176,0.6257562637329102,9.766023635864258,4.447480201721191,0.751190185546875,2023.07.17 08:00
all100_sequence,transformer_medium,42,val_eval,3.488651752471924,1.5258216857910156,0.497075617313385,6.199286937713623,2.1339123249053955,0.801719605922699,9.410877227783203,2.5303783416748047,1.1302374601364136,12.322755813598633,2.8723440170288086,1.3375223875045776,2023.07.17 10:00
all100_sequence,transformer_medium,42,val_eval,4.0235209465026855,1.8503532409667969,0.5023452639579773,5.556433200836182,2.235283851623535,0.6731184124946594,7.059438228607178,2.6703617572784424,0.8658298850059509,10.664230346679688,3.4378905296325684,1.1004101037979126,2023.07.17 13:00
all100_sequence,transformer_medium,42,val_eval,2.5761566162109375,1.693910837173462,0.25216343998908997,3.4010705947875977,2.12772798538208,0.35821375250816345,5.096936225891113,2.800732135772705,0.5540944933891296,9.351880073547363,4.541948318481445,0.7581855654716492,2023.07.17 15:00
all100_sequence,transformer_medium,42,val_eval,2.13382625579834,1.465389609336853,0.2048475444316864,3.0298011302948,1.9840002059936523,0.3153955340385437,5.02202844619751,2.7454159259796143,0.5302304029464722,9.38005542755127,4.618168354034424,0.7301341891288757,2023.07.17 16:00
all100_sequence,sequence_flat_hist_gradient_boosting,42,val_eval,2.1284897327423096,1.4812805652618408,0.03347855061292648,2.964937210083008,2.818732261657715,-0.08632844686508179,4.264706611633301,5.702996253967285,0.008674059994518757,4.849494457244873,7.675758361816406,0.01653233729302883,2023.07.17 02:00
