left_rule_id;right_rule_id;fill_overlap_ratio;signal_overlap_ratio;fill_jaccard;signal_jaccard;same_direction_ratio;fill_bucket_pnl_corr;shared_fill_bucket_count;left_trade_count_at_shared_fills;right_trade_count_at_shared_fills;mixed_direction_bucket_count;fill_daily_pnl_corr;fill_weekly_pnl_corr;exit_daily_pnl_corr;exit_weekly_pnl_corr;exit_drawdown_overlap_ratio;exit_co_loss_ratio;exit_staggered_gain_ratio;benchmark_system_correlation_parity;redundancy_verdict
rank01_time_only_linear_target_entry_ev_regression_top30;rank02_time_only_linear_target_entry_ev_regression_top40;1.0;1.0;0.6932245922208281;0.6777196044211751;0.9981900452488688;0.9758857877729619;1105.0;1207.0;1278.0;10.0;0.8753817985142976;0.8884303171947707;0.8745430403132574;0.8935276204208532;0.6728624535315985;0.6818181818181818;0.2616407982261641;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;strong_duplicate
rank01_time_only_linear_target_entry_ev_regression_top30;rank03_time_only_linear_target_entry_ev_regression_top50;1.0;1.0;0.5666666666666667;0.5459231490159325;0.9927601809954751;0.9553044113484;1105.0;1207.0;1332.0;16.0;0.8425968655415894;0.8423123552844018;0.835944386275931;0.8507848919209345;0.5699115044247788;0.5626477541371159;0.36561264822134387;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;strong_duplicate
rank01_time_only_linear_target_entry_ev_regression_top30;rank04_time_only_linear_target_entry_good_0_5r_top40;0.971945701357466;0.9699570815450643;0.6853860880663688;0.6714200831847891;0.9981378026070763;0.9692994722793242;1074.0;1176.0;1228.0;10.0;0.8677447320833681;0.8901336269063663;0.8615692952107177;0.8927065880291037;0.6511194029850746;0.6855670103092784;0.251685393258427;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;strong_duplicate
rank01_time_only_linear_target_entry_ev_regression_top30;rank05_time_only_linear_target_entry_avoid_sl_top30;0.5242626070409134;0.4925893635571055;0.3433021806853583;0.32341156267887805;0.9963702359346642;0.9501237402801814;551.0;607.0;657.0;6.0;0.476153358348599;0.5618514471588775;0.46635296663895964;0.5647659283714704;0.3996383363471971;0.38534278959810875;0.564935064935065;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank01_time_only_linear_target_entry_ev_regression_top30;rank06_time_only_linear_target_entry_good_0_5r_top50;1.0;1.0;0.5614837398373984;0.5403525046382189;0.9972850678733032;0.9646757787855963;1105.0;1207.0;1307.0;11.0;0.7931343970651684;0.8061003729567673;0.7796812517117809;0.8114493318561307;0.5609756097560976;0.5704225352112676;0.36726546906187624;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;strong_duplicate
rank01_time_only_linear_target_entry_ev_regression_top30;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;0.8845401174168297;0.8809073724007561;0.38831615120274915;0.3794788273615635;0.995575221238938;0.9839962227206172;452.0;499.0;490.0;2.0;0.4230082255390107;0.5611009873453665;0.4159165560698516;0.5809049193871013;0.45585215605749485;0.4748603351955307;0.5743589743589743;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank01_time_only_linear_target_entry_ev_regression_top30;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;1.0;1.0;0.3565610859728507;0.3459227467811159;0.9949238578680203;0.9833466594459245;394.0;437.0;418.0;2.0;0.4445785779817878;0.5191882294931693;0.4435197204956872;0.5486603831906341;0.4186046511627907;0.43804034582132567;0.6090425531914894;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank01_time_only_linear_target_entry_ev_regression_top30;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;0.6705882352941176;0.6111587982832618;0.3110831234256927;0.2701062215477997;0.9932523616734144;0.8971441416946269;741.0;817.0;874.0;10.0;0.5069626329511534;0.49009786040100883;0.49679401062109807;0.5047976933204429;0.42036124794745483;0.37420718816067655;0.5332167832167832;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank01_time_only_linear_target_entry_ev_regression_top30;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;1.0;1.0;0.20904977375565612;0.1982832618025751;0.9913419913419913;0.97447228141389;231.0;256.0;241.0;2.0;0.3600756117895979;0.4054677170623369;0.3574702556225124;0.4379119257578092;0.2515991471215352;0.24495677233429394;0.7621621621621621;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
rank01_time_only_linear_target_entry_ev_regression_top30;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;0.8430141287284144;0.8378378378378378;0.445643153526971;0.4383346425765907;0.9981378026070763;0.9973510429610094;537.0;589.0;592.0;5.0;0.623487126096569;0.7167841324886776;0.621031576742246;0.7227210133677656;0.5353535353535354;0.5315068493150685;0.4836272040302267;MATCHED_ON_SYNTHETIC_SINGLE_TRADE_BUCKET_CASE;partial_overlap
