original_rank;rule_id;profile_id;model_id;target_id;filter_id;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;1223;535.275421211596;163.8492646454398;3.2668771652402633;0.30370086391345574;0.0051282051282004;5.2031451287653425;0.5069501226492232;0.0;{'ML_CLOSE': 873, 'TIME': 311, 'SL': 39}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;760;332.98754541898626;97.25654791816676;3.4238059292333447;0.3101723651326572;0.00456410256409835;5.557700864082179;0.5078947368421053;0.0;{'ML_CLOSE': 541, 'TIME': 197, 'SL': 22}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;979;424.9048320752118;128.2877312719365;3.312123675915076;0.30297967395635883;0.0032608695652144;5.71660053148797;0.5035750766087844;0.0;{'ML_CLOSE': 698, 'TIME': 250, 'SL': 31}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;1223;535.275421211596;163.8492646454398;3.2668771652402633;0.30370086391345574;0.0051282051282004;5.2031451287653425;0.5069501226492232;0.0;{'ML_CLOSE': 873, 'TIME': 311, 'SL': 39}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;710;343.04261412276367;109.85777390232798;3.122606638905272;0.3284293524231489;-0.0034559106661608;5.470866618555334;0.4943661971830986;0.0;{'ML_CLOSE': 488, 'TIME': 190, 'SL': 32}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;896;436.75153594276884;138.27686116604994;3.158529433339503;0.33311905667044517;-0.00505952380951915;5.928066612737723;0.4921875;0.0;{'ML_CLOSE': 614, 'TIME': 241, 'SL': 41}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;1107;535.257531857709;162.56306690758385;3.292614626679009;0.3366707000452802;0.0;4.491800707590187;0.4986449864498645;0.0;{'ML_CLOSE': 763, 'TIME': 299, 'SL': 45}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;877;382.46456846320405;116.70694068253712;3.2771364430121874;0.30303036234967723;0.0032608695652144;5.7081061683563235;0.5039908779931584;0.0;{'ML_CLOSE': 627, 'TIME': 221, 'SL': 29}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;1123;496.75550589417765;154.5032481871043;3.2151783973667913;0.30476603535803504;0.0026881720430082;5.052283796865993;0.5022261798753339;0.0;{'ML_CLOSE': 794, 'TIME': 286, 'SL': 43}
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;1335;613.8885655597758;187.28464559745237;3.2778371318237234;0.31955349809911876;0.0032608695652144;5.690029033643782;0.5048689138576778;0.0;{'ML_CLOSE': 941, 'TIME': 342, 'SL': 52}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;760;332.98754541898626;97.25654791816676;3.4238059292333447;0.3101723651326572;0.00456410256409835;5.557700864082179;0.5078947368421053;0.0;{'ML_CLOSE': 541, 'TIME': 197, 'SL': 22}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;979;424.9048320752118;128.2877312719365;3.312123675915076;0.30297967395635883;0.0032608695652144;5.71660053148797;0.5035750766087844;0.0;{'ML_CLOSE': 698, 'TIME': 250, 'SL': 31}
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;1223;535.275421211596;163.8492646454398;3.2668771652402633;0.30370086391345574;0.0051282051282004;5.2031451287653425;0.5069501226492232;0.0;{'ML_CLOSE': 873, 'TIME': 311, 'SL': 39}
