filter_id;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
top30;660;298.25991072399506;74.06949529403207;4.026757702884287;0.33968244762115607;0.026524390243891603;3.390579268292761;0.5272727272727272;0.0;{'ML_CLOSE': 469, 'TIME': 178, 'SL': 13}
top40;900;417.781979527948;111.65556838593699;3.741703038794146;0.3401404568244567;0.026524390243891603;4.9121701773837;0.5233333333333333;0.0;{'ML_CLOSE': 632, 'TIME': 241, 'SL': 27}
top50;1109;505.91241570908767;141.6739698673871;3.570962373558413;0.32843863466339096;0.0166666666666514;6.174901822267316;0.5166816952209198;0.0;{'ML_CLOSE': 786, 'TIME': 287, 'SL': 36}
