original_rank;rule_id;profile_id;model_id;target_id;filter_id;year;side;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;2021;SELL;151;60.18935858448258;15.191038829673175;3.9621621180318916;0.2980021175815192;0.0207317073170542;1.8375560920626306;0.5231788079470199;0.0;{'ML_CLOSE': 104, 'TIME': 47}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;2022;BUY;155;72.83059363428559;19.384687704357578;3.7571197816054394;0.34481229632211624;0.0201923076922891;2.6890754737066125;0.5161290322580645;0.0;{'ML_CLOSE': 106, 'TIME': 43, 'SL': 6}
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;2022;SELL;150;76.04897123072108;21.637210491742366;3.514730850344338;0.36274507159319147;0.02424532312925325;3.603241398452722;0.5333333333333333;0.0;{'ML_CLOSE': 108, 'TIME': 39, 'SL': 3}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;2021;BUY;234;117.87341566302575;27.807960766273716;4.238837096101847;0.38489510639637614;0.0582750582750457;3.579127072114936;0.5683760683760684;0.0;{'ML_CLOSE': 157, 'TIME': 69, 'SL': 8}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;2021;SELL;277;123.69051896288367;29.725215416724488;4.161131121468371;0.3392249225493111;0.0280487804877792;2.736712129970428;0.5270758122743683;0.0;{'ML_CLOSE': 198, 'TIME': 76, 'SL': 3}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;2022;BUY;276;127.12173390792393;39.25254824540698;3.238560032157879;0.31836661471926425;0.034097222222218004;3.084399696048605;0.5217391304347826;0.0;{'ML_CLOSE': 190, 'TIME': 69, 'SL': 17}
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;2022;SELL;312;141.51744772496374;45.62384320379372;3.1018309240812987;0.3073512965422117;-0.0075624999999930505;5.459524290552665;0.483974358974359;0.0;{'ML_CLOSE': 225, 'TIME': 78, 'SL': 9}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;2021;BUY;178;83.61200125300834;20.462106665605376;4.086187342261842;0.3547746886932751;0.0293478260869678;3.961209524546213;0.550561797752809;0.0;{'ML_CLOSE': 124, 'TIME': 50, 'SL': 4}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;2021;SELL;205;74.28666022137028;23.503338067764876;3.1606855165503225;0.24772352270051418;-0.0162499999999852;2.804651185229549;0.47804878048780486;0.0;{'ML_CLOSE': 153, 'TIME': 50, 'SL': 2}
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;2022;BUY;285;120.5914924092333;38.746363808672506;3.112330566158613;0.28717588982652903;0.0162790697674532;5.162460386665948;0.512280701754386;0.0;{'ML_CLOSE': 198, 'TIME': 72, 'SL': 15}
