stop_policy_id;entry_id;mask_id;exit_id;split;spread;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts;risk_distance_atr;tp_distance_atr;bs_p05;negative_years;pf_without_best_year;effective_profit_years;n_years
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X0_fixed_r_0_7;val_select;0.2;2639;1360.0999999999963;696.0;1.9541666666666613;0.25164835164835025;0.6999999999999877;8.10000000000025;0.7362637362637363;0.011746873815839333;{'TP': 1943, 'SL': 696};0.5;0.35;1.8234617355877063;0;1.632615384615373;2.1423559821699594;3
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X0_fixed_r_0_7;val_eval;0.2;2690;1367.1000000000013;737.0;1.8549525101763924;0.2342379182156139;0.6999999999999829;12.900000000000546;0.7260223048327138;0.00929368029739777;{'TP': 1953, 'SL': 737};0.5;0.35;1.7141025641025665;0;1.8045325779036925;1.9907674995524423;2
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X1_ml_opposite_strong_p0_55;val_select;0.2;2639;2474.224287007295;1486.3496270287949;1.6646314178133557;0.3743367411816976;-1.0;42.06713328065507;0.3421750663129973;0.0;{'SL': 1367, 'ML_CLOSE': 991, 'TIME': 281};0.5;;1.4885238264737337;0;1.6014519098305258;2.1990857581159355;3
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X1_ml_opposite_strong_p0_55;val_eval;0.2;2690;2574.6482372475084;1539.4970638680288;1.6723956788710164;0.3848145625946019;-1.0;55.328993447016785;0.31784386617100374;0.0;{'SL': 1367, 'ML_CLOSE': 1047, 'TIME': 276};0.5;;1.4770079746860636;0;1.3330255056305558;1.9169882529757634;2
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X1_ml_opposite_strong_p0_65;val_select;0.2;2639;2131.172084561852;1941.8549450544278;1.0974929358084045;0.07173821125707618;-1.0;111.9441301764048;0.20045471769609702;0.0;{'SL': 1853, 'ML_CLOSE': 501, 'TIME': 285};0.5;;0.9747807076839043;1;1.0501150808474966;2.203769751439197;3
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X1_ml_opposite_strong_p0_65;val_eval;0.2;2690;2230.8101102085584;2010.2935564700736;1.1096937076820241;0.0819764140291766;-1.0;164.8081768914011;0.1758364312267658;0.0;{'SL': 1878, 'ML_CLOSE': 532, 'TIME': 280};0.5;;0.955587775093759;1;0.8821599478779806;1.9107809768684967;2
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X1_ml_opposite_strong_p0_75;val_select;0.2;2639;1984.2657385835462;2294.9437928073853;0.8646249833231038;-0.11772567420380427;-1.0;410.5698539277097;0.11481621826449413;0.0;{'SL': 2270, 'TIME': 286, 'ML_CLOSE': 83};0.5;;0.7566811123408843;2;0.8238867993128386;2.226865737057163;3
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X1_ml_opposite_strong_p0_75;val_eval;0.2;2690;2129.444973552323;2343.697157106898;0.9085836739167054;-0.07964765187902406;-1.0;386.25114783439125;0.1100371747211896;0.0;{'SL': 2297, 'TIME': 282, 'ML_CLOSE': 111};0.5;;0.783924767889037;1;0.7346961343495829;1.905552565780825;2
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;2639;2108.218757626719;1297.9880792499998;1.6242204310881534;0.30702185614881355;-0.3896103896103758;25.587477572203113;0.3796892762410004;0.0;{'ML_CLOSE': 1326, 'SL': 1136, 'TIME': 177};0.5;;1.450812024782958;0;1.5629426003104017;2.3079567483208248;3
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;2690;1966.657490815921;1332.2395445126836;1.4762041097761436;0.23584310271495815;-0.40904977375563617;43.74723657952275;0.35055762081784386;0.0;{'ML_CLOSE': 1430, 'SL': 1112, 'TIME': 148};0.5;;1.2991707085231559;0;1.4000084604260323;1.9870830673532853;2
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X2_ml_opposite_any_p0_55;val_select;0.2;2639;2315.139728616165;1305.3187369919233;1.7736202377293309;0.38265289565147464;-0.41111111111106713;19.725143319522772;0.3823417961348996;0.0;{'ML_CLOSE': 1278, 'SL': 1148, 'TIME': 213};0.5;;1.5792882900389287;0;1.7198046844994797;2.244005926857756;3
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X2_ml_opposite_any_p0_55;val_eval;0.2;2690;2225.8268815449114;1337.6511406131538;1.6639815972680552;0.33017685536496566;-0.4144155844156091;43.129123917120246;0.3553903345724907;0.0;{'ML_CLOSE': 1374, 'SL': 1120, 'TIME': 196};0.5;;1.4891454794551187;0;1.4619818586971127;1.9576843620488082;2
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X2_ml_opposite_any_p0_60;val_select;0.2;2639;2360.7513753586313;1328.6200273286272;1.776844640905531;0.3911069905380842;-0.4701298701298393;25.79688072662293;0.3834785903751421;0.0;{'ML_CLOSE': 1224, 'SL': 1178, 'TIME': 237};0.5;;1.5926676042065766;0;1.7101777942392948;2.252864507731044;3
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X2_ml_opposite_any_p0_60;val_eval;0.2;2690;2433.700561726483;1356.8386745276218;1.7936550655690637;0.4003204041631455;-0.4373546511627764;37.554116494770824;0.35724907063197026;0.0;{'ML_CLOSE': 1305, 'SL': 1149, 'TIME': 236};0.5;;1.5837138488623603;0;1.5499954366792885;1.954398194359005;2
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X3_ml_hold_close_p0_50;val_select;0.2;2639;2386.948300673002;1914.3119355542144;1.2468962118140658;0.179096765865399;-1.0;87.03624885256292;0.23114816218264495;0.0;{'SL': 1859, 'ML_CLOSE': 497, 'TIME': 283};0.5;;1.128527413579984;0;1.197957645099158;2.2262128376641606;3
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X3_ml_hold_close_p0_50;val_eval;0.2;2690;2514.8134988450392;1992.6828253917415;1.262023974312446;0.19410062210159762;-1.0;109.2175201391832;0.20817843866171004;0.0;{'SL': 1912, 'ML_CLOSE': 501, 'TIME': 277};0.5;;1.1187482339829558;0;1.0428552712118522;1.9278449001458415;2
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X3_ml_hold_close_p0_60;val_select;0.2;2639;2022.4338330809655;2321.5196518274006;0.8711680865974977;-0.1133330120297215;-1.0;394.00063004995974;0.11633194391815081;0.0;{'SL': 2318, 'TIME': 285, 'ML_CLOSE': 36};0.5;;0.772985453396917;2;0.831610403427472;2.2143164820403216;3
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X3_ml_hold_close_p0_60;val_eval;0.2;2690;2153.0241930171633;2381.428887790563;0.9040892230944135;-0.08490880846594791;-1.0;404.71164455382564;0.11152416356877323;0.0;{'SL': 2376, 'TIME': 282, 'ML_CLOSE': 32};0.5;;0.8061470978675728;1;0.7341173033559395;1.90709678267724;2
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X3_ml_hold_close_p0_70;val_select;0.2;2639;1974.0964072414458;2353.898732888733;0.8386496749666078;-0.14391903207551618;-1.0;464.0300170650478;0.10685865858279651;0.0;{'SL': 2353, 'TIME': 286};0.5;;0.7385039892405224;2;0.7999524403045298;2.224491491807731;3
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X3_ml_hold_close_p0_70;val_eval;0.2;2690;2123.77765655908;2407.597142857143;0.8821150427345794;-0.10550910271303465;-1.0;438.827716784427;0.10446096654275093;0.0;{'SL': 2407, 'TIME': 282, 'ML_CLOSE': 1};0.5;;0.7670676829626645;1;0.711868327123351;1.904320103139091;2
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X7_time_6;val_select;0.2;2639;1501.8729175697576;2029.1395297749839;0.7401526092867078;-0.19979788260902842;-1.0;535.4838901960524;0.22053808260704813;0.0;{'SL': 2019, 'TIME': 620};0.5;;0.6683922115628542;3;0.7225905017125944;2.2693775755895267;3
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X7_time_6;val_eval;0.2;2690;1540.3033127455808;2149.7668316484264;0.7164978499386777;-0.2265663639044035;-1.0;616.9016671380659;0.19219330855018588;0.0;{'SL': 2135, 'TIME': 555};0.5;;0.6564759172661673;2;0.6571322053958543;1.9676942331528129;2
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X7_time_12;val_select;0.2;2639;1741.5297917317969;2205.6159228371275;0.7895888734298003;-0.17585681360565764;-1.0;516.1866219787765;0.16066691928760896;0.0;{'SL': 2202, 'TIME': 437};0.5;;0.7139956298611142;2;0.7580340455980836;2.308174306420422;3
S0_current_0_5;E1_simple_limit_at_fractal0;M0_no_mask;X7_time_12;val_eval;0.2;2690;1820.3537079783196;2299.6959528155685;0.7915627740917752;-0.1781941430621745;-1.0;488.7494920443621;0.14312267657992564;0.0;{'SL': 2296, 'TIME': 394};0.5;;0.7221625470914831;2;0.7346548224966005;1.9749288101362987;2
