time;direction;ratio;close_type;mt4_result;val;stp;prf;close_price;atr_mt4;mt4_sl_dist;mt4_tp_dist;mt4_sl_atr;mt4_tp_atr;mt4_pnl_pips;mt4_pnl_atr;price;sl_dist;tp_dist;sl_atr;tp_atr;sl_delta;tp_delta;atr_delta;up_12;dn_12;category;lag_bars
2023.05.15 17:00;SELL;0.0;MARKET;WIN(MKT);2017.72;;;1987.71;4.22;;;;;30.00999999999999;7.108;0.8854596615;;;;;;;;;;;1.0
2024.07.01 17:00;BUY;0.0;MARKET;LOSS(MKT);2327.96;;;2322.86;4.89;;;;;-5.099999999999909;-1.042;0.8612474799;;;;;;;;;;;1.0
2025.02.14 23:00;BUY;0.0;MARKET;WIN(MKT);2884.91;;;2895.79;6.52;;;;;10.88000000000011;1.6677;0.9575990438;;;;;;;;;;;1.0
2025.04.09 02:00;BUY;0.0;MARKET;WIN(MKT);2980.59;;;3094.94;20.56;;;;;114.34999999999991;5.5619;0.7799353004;;;;;;;;;;;1.0
2025.06.16 01:00;SELL;0.0;MARKET;WIN(MKT);3444.59;;;3394.41;10.52;;;;;50.18000000000029;4.7694;0.9497508407;;;;;;;;;;;1.0
2025.07.17 15:00;BUY;0.0;MARKET;WIN(MKT);3319.21;;;3354.73;6.44;;;;;35.51999999999998;5.5138;0.8222591281;;;;;;;;;;;1.0
2025.08.08 01:00;SELL;0.0;MARKET;WIN(MKT);3400.75;;;3381.8;11.3;;;;;18.949999999999818;1.6764;0.9060423374;;;;;;;;;;;1.0
2025.10.31 01:00;SELL;0.0;MARKET;WIN(MKT);4036.72;;;3996.34;19.91;;;;;40.379999999999654;2.0282;0.7835883498;;;;;;;;;;;1.0
