rule_id;rank01_time_only_linear_target_entry_ev_regression_top30;rank02_time_only_linear_target_entry_ev_regression_top40;rank03_time_only_linear_target_entry_ev_regression_top50;rank04_time_only_linear_target_entry_good_0_5r_top40;rank05_time_only_linear_target_entry_avoid_sl_top30;rank06_time_only_linear_target_entry_good_0_5r_top50;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50
rank01_time_only_linear_target_entry_ev_regression_top30;1.0;0.8745430403132574;0.835944386275931;0.8615692952107177;0.46635296663895964;0.7796812517117809;0.4159165560698516;0.4435197204956872;0.49679401062109807;0.3574702556225124;0.621031576742246
rank02_time_only_linear_target_entry_ev_regression_top40;0.8745430403132574;1.0;0.9207617824704247;0.8586401314176778;0.5073507794224941;0.8943172435194006;0.4070741245183141;0.3711262028402059;0.6429504849033;0.3014069641922973;0.6212884367598529
rank03_time_only_linear_target_entry_ev_regression_top50;0.835944386275931;0.9207617824704247;1.0;0.874676942825621;0.5503530664471611;0.9078492550524736;0.361498485424953;0.3327307947819066;0.6770569531617796;0.2469600209333814;0.5631585949762427
rank04_time_only_linear_target_entry_good_0_5r_top40;0.8615692952107177;0.8586401314176778;0.874676942825621;1.0;0.6587638654254069;0.9069115725435755;0.4902650135034054;0.4211682595652308;0.6186169813426945;0.30174484069891033;0.6796081887428059
rank05_time_only_linear_target_entry_avoid_sl_top30;0.46635296663895964;0.5073507794224941;0.5503530664471611;0.6587638654254069;1.0;0.686937755663341;0.6152335777069224;0.5332833387753584;0.6098107274580412;0.3740746733721168;0.6448411710103398
rank06_time_only_linear_target_entry_good_0_5r_top50;0.7796812517117809;0.8943172435194006;0.9078492550524736;0.9069115725435755;0.686937755663341;1.0;0.43969878174828536;0.3753530340118287;0.7160769920197171;0.2572471420907446;0.6162431479506443
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;0.4159165560698516;0.4070741245183141;0.361498485424953;0.4902650135034054;0.6152335777069224;0.43969878174828536;1.0;0.8836190158094996;0.33597568474198947;0.6549512018393607;0.8165721896961958
rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;0.4435197204956872;0.3711262028402059;0.3327307947819066;0.4211682595652308;0.5332833387753584;0.3753530340118287;0.8836190158094996;1.0;0.29077623403911257;0.7586760870784593;0.7289651559409102
rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;0.49679401062109807;0.6429504849033;0.6770569531617796;0.6186169813426945;0.6098107274580412;0.7160769920197171;0.33597568474198947;0.29077623403911257;1.0;0.24004447148721322;0.5354739691457571
rank10_movement_plus_time_linear_target_entry_ev_regression_top50;0.3574702556225124;0.3014069641922973;0.2469600209333814;0.30174484069891033;0.3740746733721168;0.2572471420907446;0.6549512018393607;0.7586760870784593;0.24004447148721322;1.0;0.551072142066687
rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;0.621031576742246;0.6212884367598529;0.5631585949762427;0.6796081887428059;0.6448411710103398;0.6162431479506443;0.8165721896961958;0.7289651559409102;0.5354739691457571;0.551072142066687;1.0
