stop_policy_id;entry_id;mask_id;exit_id;split;spread;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;bs_p05;negative_years;pf_without_best_year;effective_profit_years;n_years;filter_id;score_cutoff_on_val_select;entry_filter_score_col;profile_id;model_id;target_id;eligible_for_winner;not_eligible_for_winner;not_eligible_reason;source_bs_p05;sequential_block_bs_p05;original_rank;rule_id;rule_family_tag;concentration_n_years;concentration_effective_profit_years;concentration_best_year_share;concentration_profitable_years;concentration_min_year_pf
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;660;298.25991072399506;74.06949529403207;4.026757702884287;0.339682447621156;0.0265243902438916;3.390579268292761;0.5272727272727272;3.3067645101786955;0;3.546497776318488;1.9922337231982865;2;top30;-0.0267181842596606;rich_entry_score;time_only;linear;target_entry_ev_regression;True;False;;3.3954600158428163;3.3067645101786955;1;rank01_time_only_linear_target_entry_ev_regression_top30;time_heavy;2;1.9922337231982863;0.5312180874889839;2;3.5464977763184886
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;900;417.781979527948;111.655568385937;3.7417030387941455;0.3401404568244567;0.0265243902438916;4.9121701773837;0.5233333333333333;3.14276939408526;0;3.254886613380603;1.993209247954128;2;top40;-0.0390640699904365;rich_entry_score;time_only;linear;target_entry_ev_regression;True;False;;3.197219246313604;3.14276939408526;2;rank02_time_only_linear_target_entry_ev_regression_top40;time_heavy;2;1.9932092479541277;0.5291845159223717;2;3.254886613380603
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;1109;505.91241570908767;141.6739698673871;3.570962373558413;0.3284386346633909;0.0166666666666514;6.174901822267316;0.5166816952209198;2.9978640208334655;0;2.994451199991655;1.999202175168364;2;top50;-0.0474950606299718;rich_entry_score;time_only;linear;target_entry_ev_regression;True;False;;3.172022393000705;2.9978640208334655;3;rank03_time_only_linear_target_entry_ev_regression_top50;time_heavy;2;1.9992021751683642;0.5099883883890013;2;2.994451199991656
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;840;384.1056279918477;103.03515560561792;3.727908457401356;0.3346077052217021;0.0202025368248586;4.261773771464071;0.5166666666666667;3.0965799963074914;0;3.165136046137006;1.9866094169865944;2;top40;0.2900920417107097;rich_entry_score;time_only;linear;target_entry_good_0_5r;True;False;;3.138626697919389;3.0965799963074914;4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_heavy;2;1.9866094169865944;0.54105003223937;2;3.165136046137006
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;570;259.0921753577215;68.85262272144989;3.762996457025385;0.3337536011162659;0.0214407260351746;3.5589674017136304;0.5245614035087719;2.946920476868935;0;3.629270497267263;1.9564252802070472;2;top30;0.4288113055848618;rich_entry_score;time_only;linear;target_entry_avoid_sl;True;False;;3.107830087591563;2.946920476868935;5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_heavy;2;1.9564252802070472;0.57462007356823;2;3.629270497267263
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;1099;510.2031162587971;142.40956763219893;3.582646340002227;0.3346620096693341;0.0224489795918396;5.734665727829565;0.5222929936305732;3.0487056242061445;0;3.1650636536977506;1.9943834800080515;2;top50;0.2863669071030585;rich_entry_score;time_only;linear;target_entry_good_0_5r;True;False;;3.105367308136909;3.0487056242061445;6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_heavy;2;1.9943834800080515;0.5265337922722962;2;3.165063653697751
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;979;424.9048320752118;128.2877312719365;3.312123675915076;0.3029796739563588;0.0032608695652144;5.71660053148797;0.5035750766087844;2.756900561098383;0;3.166495852537316;1.8762843614250404;2;top40;0.2941066606932765;rich_entry_score;movement_plus_time;linear;target_entry_good_0_5r;True;False;;2.8836238567909103;2.756900561098383;7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;time_heavy;2;1.8762843614250404;0.628390525230767;2;3.1664958525373157
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;760;332.98754541898626;97.25654791816676;3.4238059292333443;0.3101723651326572;0.0045641025640984;5.557700864082179;0.5078947368421053;2.6742821120316997;0;3.304700024652641;1.8020698262238604;2;top30;0.2982796930676169;rich_entry_score;movement_plus_time;linear;target_entry_good_0_5r;True;False;;2.855082109917759;2.6742821120316997;8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;time_heavy;2;1.8020698262238604;0.6657067500984766;2;3.3047000246526417
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;1107;535.257531857709;162.56306690758385;3.292614626679009;0.3366707000452801;0.0;4.491800707590187;0.4986449864498645;2.80016804686977;0;3.2817584617766644;1.9789436675053969;2;top50;0.2867911301968629;rich_entry_score;time_only;hist_gradient_boosting;target_entry_good_0_5r;True;False;;2.8409370002597787;2.80016804686977;9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_heavy;2;1.9789436675053962;0.5515756432693011;2;3.2817584617766644
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;1335;613.8885655597758;187.2846455974524;3.2778371318237234;0.3195534980991187;0.0032608695652144;5.690029033643782;0.5048689138576778;2.860090503697381;0;3.0582531171047926;1.873725711204304;2;top50;-0.0275664925037564;rich_entry_score;movement_plus_time;linear;target_entry_ev_regression;True;False;;2.834292102379781;2.860090503697381;10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;time_heavy;2;1.8737257112043038;0.6297999310625819;2;3.0582531171047926
S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;1223;535.275421211596;163.8492646454398;3.2668771652402637;0.3037008639134557;0.0051282051282004;5.203145128765343;0.5069501226492232;2.8002048944722935;0;3.0930696564767697;1.9201880438589785;2;top50;0.2897998842880031;rich_entry_score;movement_plus_time;linear;target_entry_good_0_5r;True;False;;2.833848757080637;2.8002048944722935;11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;time_heavy;2;1.9201880438589782;0.6019370594223618;2;3.0930696564767697
