side;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
BUY;303;155.4947181685983;30.21463457296475;5.1463378712423955;0.4134656224278335;0.0589743589743348;2.601142573273677;0.5643564356435643;0.0;{'ML_CLOSE': 208, 'TIME': 88, 'SL': 7}
SELL;357;142.76519255539677;43.85486072106731;3.2554018005765597;0.2770597530373374;-0.0009433962264356;3.1643108071174666;0.4957983193277311;0.0;{'ML_CLOSE': 261, 'TIME': 90, 'SL': 6}
