stop_policy_id;split;stop_source;n_trades;sl_count;sl_rate;median_stop_distance_atr;p10_stop_distance_atr;p90_stop_distance_atr;mean_r_value;median_r_value
S0_current_0_5;val_eval;current_entry_or_fractal_anchor;99996;57494;0.5749629985199408;0.5000000000000117;0.4999999999999825;1.3770833333333599;3.5622332893315845;2.5
S0_current_0_5;val_select;current_entry_or_fractal_anchor;103500;59359;0.5735169082125604;0.5000000000000134;0.499999999999984;1.440816326530601;4.143443478260878;2.9500000000000455
S1_fractal0_buffer_0_5_entry_floor_1;val_eval;entry_floor;82128;40267;0.49029563608026494;1.0;0.9999999999999803;1.0000000000000233;4.6043834015196055;4.400000000000091
S1_fractal0_buffer_0_5_entry_floor_1;val_eval;fractal0_buffer;17868;6876;0.38482202820685024;1.469230769230774;1.0657894736841986;2.9369565217391287;8.060846205507048;6.5
S1_fractal0_buffer_0_5_entry_floor_1;val_select;entry_floor;83940;40258;0.47960447939004053;1.0;0.9999999999999822;1.0000000000000207;5.34983559685492;5.099999999999909
S1_fractal0_buffer_0_5_entry_floor_1;val_select;fractal0_buffer;19560;7493;0.38307770961145193;1.4810422282120612;1.0666197183098036;2.9632675438597107;9.057447852760733;7.610000000000127
S2_fractal0_buffer_0_5_entry_floor_2;val_eval;entry_floor;95532;33208;0.34761127161579364;2.0;1.999999999999979;2.0000000000000218;9.103730687099633;8.600000000000136
S2_fractal0_buffer_0_5_entry_floor_2;val_eval;fractal0_buffer;4464;1266;0.28360215053763443;2.7142230576441166;2.0924999999999727;4.390243902439025;13.645053763440872;11.919999999999959
S2_fractal0_buffer_0_5_entry_floor_2;val_select;entry_floor;98232;32250;0.32830442218421696;2.0;1.9999999999999811;2.0000000000000173;10.608453457121938;10.200000000000045
S2_fractal0_buffer_0_5_entry_floor_2;val_select;fractal0_buffer;5268;1426;0.2706909643128322;2.6124999999999927;2.082142857142831;4.39999999999999;13.998724373576303;12.009999999999991
S3_fractal0_buffer_0_5_entry_floor_3;val_eval;entry_floor;98292;23730;0.24142351361250153;3.0;2.9999999999999782;3.0000000000000213;13.602368453180341;12.900000000000091
S3_fractal0_buffer_0_5_entry_floor_3;val_eval;fractal0_buffer;1704;334;0.1960093896713615;3.6439673913043666;3.0852941176470616;5.8700000000000045;18.32992957746482;16.440000000000055
S3_fractal0_buffer_0_5_entry_floor_3;val_select;entry_floor;101616;22971;0.22605692017005197;3.0;2.9999999999999822;3.000000000000019;15.807132735002376;15.0
S3_fractal0_buffer_0_5_entry_floor_3;val_select;fractal0_buffer;1884;338;0.17940552016985137;3.6923076923076574;3.0840000000000147;6.01609195402298;18.99025477707007;17.039999999999964
