year;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
2019;128735;62618.620674690384;60738.937323778184;1.030946925213595;0.01460118344593315;-0.30172413793103686;2505.819686204259;0.382933934050569;0.00046607371732629044;{'SL': 52449, 'TIME': 43783, 'ML_CLOSE': 26268, 'TP': 6235}
2020;244404;135020.93352757796;110478.81400495498;1.2221432203419766;0.10041619418104034;-0.24317460317460576;1040.4620985724478;0.405296148999198;0.0002004877170586406;{'SL': 95013, 'TIME': 85700, 'ML_CLOSE': 51331, 'TP': 12360}
2021;227128;121027.34924516827;107705.40424596051;1.1236887331000143;0.05865390880564164;-0.31178513071897485;1280.2562078719363;0.3822690289176147;0.0003170018667887711;{'SL': 92947, 'TIME': 75394, 'ML_CLOSE': 47373, 'TP': 11414}
2022;213717;120779.46717548008;101156.13269767942;1.1939905565236266;0.09181924918373664;-0.31315789473685396;787.0086275306458;0.38741419727958;0.00016844705849324105;{'SL': 86861, 'TIME': 70220, 'ML_CLOSE': 45913, 'TP': 10723}
