filled;fill_index;fill_time;entry_effective_price;entry_bid_equivalent;position_id;split;split_row_id;signal_time;time;side;calculation_open;limit_price;planned_entry_price;planned_entry_bid_equivalent;planned_protective_stop_price;planned_r_value;atr;ATR;fractal0_price;protective_stop_price;r_value;stop_policy_id;stop_family;entry_floor_atr;fractal0_buffer_atr;stop_source;stop_distance_atr;risk_distance_atr;movement_score;movement_score_available;side_buy;entry_to_fractal0_atr;r_value_atr;entry_quality_score;entry_avoid_sl_score
True;86822.0;2019-06-20 18:00:00;1384.75;1384.75;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:0;val_select;0;2019-06-20 16:00:00;2019-06-20 16:00:00;SELL;1382.05;1384.75;1384.75;1384.75;1390.15;5.400000000000091;2.7;2.7;1386.6;1390.15;5.400000000000091;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0000000000000338;2.0000000000000338;4.258976851803135;True;0;-0.6851851851851515;2.0000000000000338;0.3432117570659177;0.3999863329270246
False;;;;;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:1;val_select;1;2019-06-20 16:00:00;2019-06-20 16:00:00;BUY;1382.05;1379.35;1379.35;1379.1499999999999;1373.7499999999998;5.600000000000136;2.7;2.7;1379.5;1373.7499999999998;;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0000000000000338;2.0000000000000338;5.825418268757517;True;1;-0.12962962962968014;2.0740740740741246;0.36672170930691456;0.41978756617293
False;;;;;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:2;val_select;2;2019-06-20 18:00:00;2019-06-20 18:00:00;BUY;1385.34;1382.6399999999999;1382.6399999999999;1382.4399999999998;1377.0399999999997;5.600000000000136;2.7;2.7;1379.6;1377.0399999999997;;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0000000000000338;2.0000000000000338;6.312145283130351;True;1;1.0518518518518214;2.0740740740741246;0.36406103383080585;0.4164626382614
True;86830.0;2019-06-21 03:00:00;1392.82;1392.82;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:3;val_select;3;2019-06-20 21:00:00;2019-06-20 21:00:00;SELL;1390.12;1392.82;1392.82;1392.82;1398.22;5.400000000000091;2.7;2.7;1393.3;1398.22;5.400000000000091;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0000000000000338;2.0000000000000338;6.900210680625865;True;0;-0.1777777777777845;2.0000000000000338;0.3446275043892224;0.4007619099573125
False;;;;;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:4;val_select;4;2019-06-21 01:00:00;2019-06-21 01:00:00;BUY;1388.82;1385.82;1385.82;1385.62;1379.62;6.2000000000000455;3.0;3.0;1386.6;1379.62;;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0;2.0;6.783930796931887;True;1;-0.3266666666666727;2.066666666666682;0.3676796862773831;0.42058301088988914
False;;;;;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:5;val_select;5;2019-06-21 06:00:00;2019-06-21 06:00:00;SELL;1404.86;1407.86;1407.86;1407.86;1413.86;6.0;3.0;3.0;1411.8;1413.86;;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0;2.0;7.729452114605576;True;0;-1.3133333333333514;2.0;0.3434245588771837;0.4014344642310047
False;;;;;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:6;val_select;6;2019-06-21 11:00:00;2019-06-21 11:00:00;BUY;1389.36;1386.36;1386.36;1386.1599999999999;1380.1599999999999;6.2000000000000455;3.0;3.0;1382.5;1380.1599999999999;;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0;2.0;8.80599108889001;True;1;1.2199999999999516;2.066666666666682;0.36305140880589476;0.4154772680703083
True;86843.0;2019-06-21 16:00:00;1398.19;1398.19;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:7;val_select;7;2019-06-21 14:00:00;2019-06-21 14:00:00;SELL;1395.19;1398.19;1398.19;1398.19;1404.19;6.0;3.0;3.0;1400.2;1404.19;6.0;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0;2.0;9.185857976431402;True;0;-0.6699999999999969;2.0;0.34384423196691877;0.40158856066783577
True;86845.0;2019-06-21 18:00:00;1395.14;1394.94;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:8;val_select;8;2019-06-21 16:00:00;2019-06-21 16:00:00;BUY;1398.14;1395.14;1395.14;1394.94;1388.94;6.2000000000000455;3.0;3.0;1393.0;1388.94;6.2000000000000455;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0;2.0;8.576120826917967;True;1;0.6466666666666848;2.066666666666682;0.3645020452809697;0.41705369888153443
True;86846.0;2019-06-21 19:00:00;1395.61;1395.61;S2_fractal0_buffer_0_5_entry_floor_2:E3_open_pullback_1_0atr:9;val_select;9;2019-06-21 17:00:00;2019-06-21 17:00:00;SELL;1392.61;1395.61;1395.61;1395.61;1401.61;6.0;3.0;3.0;1400.0;1401.61;6.0;S2_fractal0_buffer_0_5_entry_floor_2;fractal0_buffer_entry_floor;2.0;0.5;entry_floor;2.0;2.0;8.250295770864247;True;0;-1.4633333333333667;2.0;0.3436244879838519;0.4018731300357487
