filled;close_reason;pnl_r;hold_bars;ambiguous;exit_price;exit_time;position_id;split;split_row_id;entry_id;mask_id;exit_id;side;entry_effective_price;entry_bid_equivalent;protective_stop_price;r_value;signal_time;fill_time;fill_index;metric_split;metric_spread
True;ML_CLOSE;-0.2468750000000026;0;False;1385.54;2019-06-20 18:00:00;E3_open_pullback_1_0atr:0;val_select;0;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1384.75;1384.75;1387.9499999999998;3.199999999999818;2019-06-20 16:00:00;2019-06-20 18:00:00;86822;val_select;0.2
True;SL;-1.0;0;False;1394.65;2019-06-21 03:00:00;E3_open_pullback_1_0atr:3;val_select;3;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1392.82;1392.82;1394.65;1.8299999999999272;2019-06-20 21:00:00;2019-06-21 03:00:00;86830;val_select;0.2
True;ML_CLOSE;1.099715099715074;3;False;1394.3300000000002;2019-06-21 19:00:00;E3_open_pullback_1_0atr:7;val_select;7;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1398.19;1398.19;1401.7;3.509999999999991;2019-06-21 14:00:00;2019-06-21 16:00:00;86843;val_select;0.2
True;SL;-1.0;0;False;1391.5;2019-06-21 18:00:00;E3_open_pullback_1_0atr:8;val_select;8;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1395.14;1394.94;1391.5;3.6400000000001;2019-06-21 16:00:00;2019-06-21 18:00:00;86845;val_select;0.2
True;ML_CLOSE;0.2173174872665065;0;False;1394.3300000000002;2019-06-21 19:00:00;E3_open_pullback_1_0atr:9;val_select;9;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1395.61;1395.61;1401.5;5.8900000000001;2019-06-21 17:00:00;2019-06-21 19:00:00;86846;val_select;0.2
True;TIME;3.069587628866004;24;False;1419.18;2019-06-24 21:00:00;E3_open_pullback_1_0atr:10;val_select;10;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1395.36;1395.16;1387.6;7.759999999999991;2019-06-21 18:00:00;2019-06-21 20:00:00;86847;val_select;0.2
True;SL;-1.0;0;False;1402.67;2019-06-24 01:00:00;E3_open_pullback_1_0atr:11;val_select;11;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1401.17;1401.17;1402.67;1.5;2019-06-21 21:00:00;2019-06-24 01:00:00;86851;val_select;0.2
True;SL;-1.0;0;False;1404.37;2019-06-24 02:00:00;E3_open_pullback_1_0atr:12;val_select;12;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1402.87;1402.87;1404.37;1.5;2019-06-21 23:00:00;2019-06-24 02:00:00;86852;val_select;0.2
True;ML_CLOSE;2.5575757575756333;11;False;1405.99;2019-06-24 15:00:00;E3_open_pullback_1_0atr:13;val_select;13;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;SELL;1410.21;1410.21;1411.86;1.650000000000091;2019-06-24 02:00:00;2019-06-24 04:00:00;86854;val_select;0.2
True;SL;-1.0;0;False;1401.12;2019-06-24 07:00:00;E3_open_pullback_1_0atr:15;val_select;15;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_55;BUY;1402.97;1402.77;1401.12;1.8500000000001364;2019-06-24 05:00:00;2019-06-24 07:00:00;86857;val_select;0.2
