entry_id;mask_id;exit_id;split;spread;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts;bs_p05;negative_years;pf_without_best_year;effective_profit_years;n_years
E0_selected_zone_edge;M0_no_mask;X0_fixed_r_0_7;val_select;0.2;3533;1237.8551724137913;1757.667183494087;0.7042602740941231;-0.147130487144154;0.6999999999999675;522.9120110803041;0.5007076139258421;0.0469855646759128;{'TP': 1768, 'SL': 1756, 'TIME': 9};0.6715887273350482;3;0.6928616436554813;0.0;3
E0_selected_zone_edge;M0_no_mask;X0_fixed_r_0_7;val_eval;0.2;3502;1168.300000000002;1833.0;0.6373704309874534;-0.1898058252427179;-1.0;665.1999999999888;0.4765848086807538;0.0531125071387778;{'SL': 1833, 'TP': 1669};0.6046301224055358;2;0.6164179104477621;0.0;2
E0_selected_zone_edge;M0_no_mask;X1_ml_opposite_strong_p0_55;val_select;0.2;3533;2457.497553344847;1421.8220619039723;1.728414278544809;0.293143360158753;-0.2226415094339666;30.871823622918896;0.38324370223606;0.0653835267478064;{'ML_CLOSE': 1831, 'SL': 1029, 'TIME': 673};1.5976154769424409;0;1.6560083072766123;3.0;3
E0_selected_zone_edge;M0_no_mask;X1_ml_opposite_strong_p0_55;val_eval;0.2;3502;2382.9707063107035;1483.0813958820522;1.606770007989648;0.256964394754041;-0.2666666666666965;50.5034794794683;0.3575099942889777;0.0722444317532838;{'ML_CLOSE': 1817, 'SL': 1057, 'TIME': 628};1.4958998871461378;0;1.423308976580268;2.0;2
E0_selected_zone_edge;M0_no_mask;X1_ml_opposite_strong_p0_65;val_select;0.2;3533;2240.7907943454798;2100.902803641585;1.0665847037099578;0.0395946761120561;-0.8972222222222499;171.2336775489813;0.2442683272006793;0.0953863572035097;{'SL': 1760, 'ML_CLOSE': 1077, 'TIME': 696};0.9755114455724102;1;1.0148887923365848;2.0;3
E0_selected_zone_edge;M0_no_mask;X1_ml_opposite_strong_p0_65;val_eval;0.2;3502;2166.957508322815;2241.9011327282265;0.966571396342438;-0.0214002354098832;-1.0;278.07804109027177;0.2084523129640205;0.1096516276413478;{'SL': 1850, 'ML_CLOSE': 1008, 'TIME': 644};0.8784679242410808;1;0.8721688041715903;1.0;2
E0_selected_zone_edge;M0_no_mask;X1_ml_opposite_strong_p0_75;val_select;0.2;3533;2185.1733820052364;2761.204546874172;0.791384102448682;-0.1630430695921131;-1.0;648.9763662536318;0.1927540333993773;0.1035946787432776;{'SL': 2699, 'TIME': 699, 'ML_CLOSE': 135};0.7136129556303556;2;0.7549599501726998;1.0;3
E0_selected_zone_edge;M0_no_mask;X1_ml_opposite_strong_p0_75;val_eval;0.2;3502;2132.9720379341024;2808.951753325383;0.7593480505348585;-0.1930267605343462;-1.0;735.4637256359506;0.1781838949171901;0.1207881210736721;{'SL': 2747, 'TIME': 649, 'ML_CLOSE': 106};0.6927586103358581;2;0.7050784457263437;0.0;2
E0_selected_zone_edge;M0_no_mask;X2_ml_opposite_any_p0_50;val_select;0.2;3533;1257.3564379412985;1212.4199652735651;1.0370634548710966;0.0127190695351637;-0.15;109.50392660365712;0.3724879705632606;0.0373620152844608;{'ML_CLOSE': 2540, 'SL': 786, 'TIME': 207};0.9155377421722058;1;1.0039722140149672;2.0;3
E0_selected_zone_edge;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;0.2;3502;1242.4041264449495;1284.642347311491;0.9671206379309092;-0.0120611710070078;-0.1947972972972716;171.95477599094534;0.3418046830382638;0.0422615648201028;{'ML_CLOSE': 2502, 'SL': 812, 'TIME': 188};0.8682740854177111;2;0.945864124461242;0.0;2
E0_selected_zone_edge;M0_no_mask;X2_ml_opposite_any_p0_55;val_select;0.2;3533;1658.498938309443;1201.7437264581283;1.38007705120084;0.1292825394427722;-0.1320000000000618;44.84168058582924;0.3956977073308803;0.0376450608547976;{'ML_CLOSE': 2430, 'SL': 787, 'TIME': 316};1.2550094810563073;0;1.3271793706602952;3.0;3
E0_selected_zone_edge;M0_no_mask;X2_ml_opposite_any_p0_55;val_eval;0.2;3502;1569.1393375885232;1274.3869714442162;1.2312895319467012;0.0841668664032857;-0.184047965116301;63.93514343356805;0.3672187321530554;0.0428326670474014;{'ML_CLOSE': 2410, 'SL': 814, 'TIME': 278};1.106409894995783;0;1.222083731897337;2.0;2
