ticket;direction;mode;signal_time;entry_time;score;atr;spread;spread_atr;open_positions;max_positions;entry;stop;take_profit;lot;raw_line;close_status;close_reason;exit_time;hold_bars;pnl_atr;profit
0;BUY;;2022.12.02 16:00;2022.12.02 17:00;0.0;0.0;0.0;0.0;0;0;1785.88;0.0;0.0;0.0;0	22:02:31.725	2022.12.02 17:00:00  $o$imple XAUUSD,H1: 273360672:: MLP BUY signal_time=2022.12.02 16:00 entry_time=2022.12.02 17:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=1785.88;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;SELL;;2023.01.18 20:00;2023.01.18 21:00;0.0;0.0;0.0;0.0;0;0;1904.95;0.0;0.0;0.0;0	22:02:32.529	2023.01.18 21:00:00  $o$imple XAUUSD,H1: 273360672:: MLP SELL signal_time=2023.01.18 20:00 entry_time=2023.01.18 21:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=1904.95;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;BUY;;2023.01.24 18:00;2023.01.24 19:00;0.0;0.0;0.0;0.0;0;0;1932.62;0.0;0.0;0.0;0	22:02:32.617	2023.01.24 19:00:00  $o$imple XAUUSD,H1: 273360672:: MLP BUY signal_time=2023.01.24 18:00 entry_time=2023.01.24 19:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=1932.62;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;SELL;;2023.04.13 18:00;2023.04.13 19:00;0.0;0.0;0.0;0.0;0;0;2038.98;0.0;0.0;0.0;0	22:02:35.486	2023.04.13 19:00:00  $o$imple XAUUSD,H1: 273360672:: MLP SELL signal_time=2023.04.13 18:00 entry_time=2023.04.13 19:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=2038.98;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;SELL;;2023.04.20 16:00;2023.04.20 17:00;0.0;0.0;0.0;0.0;0;0;2003.58;0.0;0.0;0.0;0	22:02:36.032	2023.04.20 17:00:00  $o$imple XAUUSD,H1: 273360672:: MLP SELL signal_time=2023.04.20 16:00 entry_time=2023.04.20 17:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=2003.58;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;BUY;;2023.05.19 21:00;2023.05.19 22:00;0.0;0.0;0.0;0.0;0;0;1977.11;0.0;0.0;0.0;0	22:02:37.782	2023.05.19 22:00:00  $o$imple XAUUSD,H1: 273360672:: MLP BUY signal_time=2023.05.19 21:00 entry_time=2023.05.19 22:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=1977.11;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;BUY;;2023.11.01 21:00;2023.11.01 22:00;0.0;0.0;0.0;0.0;0;0;1978.75;0.0;0.0;0.0;0	22:02:47.976	2023.11.01 22:00:00  $o$imple XAUUSD,H1: 273360672:: MLP BUY signal_time=2023.11.01 21:00 entry_time=2023.11.01 22:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=1978.75;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;SELL;;2023.11.03 15:00;2023.11.03 16:00;0.0;0.0;0.0;0.0;0;0;1995.19;0.0;0.0;0.0;0	22:02:48.057	2023.11.03 16:00:00  $o$imple XAUUSD,H1: 273360672:: MLP SELL signal_time=2023.11.03 15:00 entry_time=2023.11.03 16:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=1995.19;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;BUY;;2023.11.22 21:00;2023.11.22 22:00;0.0;0.0;0.0;0.0;0;0;1990.85;0.0;0.0;0.0;0	22:02:49.117	2023.11.22 22:00:00  $o$imple XAUUSD,H1: 273360672:: MLP BUY signal_time=2023.11.22 21:00 entry_time=2023.11.22 22:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=1990.85;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
0;BUY;;2024.02.05 17:00;2024.02.05 18:00;0.0;0.0;0.0;0.0;0;0;2017.84;0.0;0.0;0.0;0	22:02:52.906	2024.02.05 18:00:00  $o$imple XAUUSD,H1: 273360672:: MLP BUY signal_time=2024.02.05 17:00 entry_time=2024.02.05 18:00 score=0.000000 exit_mode=timeout take_profit_atr=0.00 Val=2017.84;closed;Timeout;2025.11.03 04:00;24;1.8192;0.0
